Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Wire/Cable Tie Type","Length - Approximate","Bundle Diameter","Width","Length - Actual","Mounting Type","Tensile Strength","Features","Material","Color"
http://www.panduit.com/heiler/PartDrawings/C-CTPLT-6SM-SS-5540-1--ENG.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/PLT%20SERIES%20BLACK.jpg,298-10432-ND,PLT2M-M30,Panduit Corp,CABLE TIE MINI HS BLACK 8.0"",47000,0,"0.07789","0","1000","1000 per Pkg","PAN-TY® PLT","Active","Standard, Locking","8.00""","2.00"" (50.80mm)","0.098"" (2.50mm)","0.667' (203.20mm, 8.00"")","Free Hanging (In-Line)","18 lbs (8.16 kg)","Heat Stabilized","Polyamide (PA66), Nylon 6/6","Black"
http://www.panduit.com/heiler/PartDrawings/C-CTPLT-6SM-SS-5540-1--ENG.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/PLT%20SERIES%20NATURAL.jpg,298-1031-ND,PLT2S-M,Panduit Corp,CABLE TIE STD 50LB 7.4"",38000,0,"0.09044","0","1000","1000 per Pkg","PAN-TY® PLT","Active","Standard, Locking","7.50""","1.88"" (47.75mm)","0.190"" (4.83mm)","0.617' (187.96mm, 7.40"")","Free Hanging (In-Line)","50 lbs (22.68 kg)","-","Polyamide (PA66), Nylon 6/6","Natural"
http://www.panduit.com/heiler/PartDrawings/C-CTPLT-6SM-SS-5540-1--ENG.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/PLT%20SERIES%20NATURAL.jpg,298-1027-ND,PLT2I-M,Panduit Corp,CABLE TIE INTERMED 40LB 8.0"",23000,0,"0.09089","0","1000","1000 per Pkg","PAN-TY® PLT","Active","Standard, Locking","8.00""","2.00"" (50.80mm)","0.142"" (3.61mm)","0.667' (203.20mm, 8.00"")","Free Hanging (In-Line)","40 lbs (18.14 kg)","-","Polyamide (PA66), Nylon 6/6","Natural"
http://www.panduit.com/heiler/PartDrawings/C-CTPLT-6SM-SS-5540-1--ENG.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/PLT%20SERIES%20BLACK.jpg,298-1043-ND,PLT1.5I-M0,Panduit Corp,CABLE TIE INTERMED 40LB 5.6"",101000,0,"0.09144","0","1000","1000 per Pkg","PAN-TY® PLT","Active","Standard, Locking","5.50""","1.38"" (35.00mm)","0.142"" (3.61mm)","0.467' (142.24mm, 5.60"")","Free Hanging (In-Line)","40 lbs (18.14 kg)","Weather Resistant","Polyamide (PA66), Nylon 6/6","Black"
http://www.panduit.com/heiler/PartDrawings/C-CTBT1-5I-BT-0037-2--ENG.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_BTSeries_Blk.jpg,298-10470-ND,BT1.5I-M0,Panduit Corp,CABLE TIE 40LB WR BLK 6.1"",32000,0,"0.09144","0","1000","1000 per Pkg","DOME-TOP® BARB-TY® BT","Active","Standard, Locking","6.00""","1.50"" (38.10mm)","0.141"" (3.58mm)","0.508' (154.94mm, 6.10"")","Free Hanging (In-Line)","40 lbs (18.14 kg)","Weather Resistant","Polyamide (PA66), Nylon 6/6","Black"
http://www.panduit.com/heiler/PartDrawings/C-CTPLT-6SM-SS-5540-1--ENG.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/PLT%20SERIES%20BLACK.jpg,298-1045-ND,PLT1.5M-M0,Panduit Corp,CABLE TIE MINI 18LB 5.6"",131997,0,"0.09312","0","1000","1000 per Pkg","PAN-TY® PLT","Active","Standard, Locking","5.50""","1.25"" (31.75mm)","0.098"" (2.50mm)","0.467' (142.24mm, 5.60"")","Free Hanging (In-Line)","18 lbs (8.16 kg)","Weather Resistant","Polyamide (PA66), Nylon 6/6","Black"
http://www.panduit.com/heiler/PartDrawings/C-CTPLT-6SM-SS-5540-1--ENG.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/PLT%20SERIES%20BLACK.jpg,298-1049-ND,PLT2M-M0,Panduit Corp,CABLE TIE MINI 18LB 8.0"",104000,0,"0.09440","0","1000","1000 per Pkg","PAN-TY® PLT","Active","Standard, Locking","8.00""","2.00"" (50.80mm)","0.098"" (2.50mm)","0.667' (203.20mm, 8.00"")","Free Hanging (In-Line)","18 lbs (8.16 kg)","Weather Resistant","Polyamide (PA66), Nylon 6/6","Black"
http://www.panduit.com/heiler/PartDrawings/C-CTPLT-6SM-SS-5540-1--ENG.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/PLT%20SERIES%20BLACK.jpg,298-1047-ND,PLT2I-M0,Panduit Corp,CABLE TIE INTERMED 40LB 8.0"",51000,0,"0.12203","0","1000","1000 per Pkg","PAN-TY® PLT","Active","Standard, Locking","8.00""","2.00"" (50.80mm)","0.142"" (3.61mm)","0.667' (203.20mm, 8.00"")","Free Hanging (In-Line)","40 lbs (18.14 kg)","Weather Resistant","Polyamide (PA66), Nylon 6/6","Black"
http://www.panduit.com/heiler/PartDrawings/C-CTPLT-6SM-SS-5540-1--ENG.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/PLT%20SERIES%20NATURAL.jpg,298-1016-ND,PLT.6SM-C,Panduit Corp,TIE CABLE PAN-TY 8LB 2.8"",130600,0,"0.13370","0","100","100 per Pkg","PAN-TY® PLT","Active","Standard, Locking","2.75""","0.60"" (15.24mm)","0.070"" (1.80mm)","0.233' (71.12mm, 2.80"")","Free Hanging (In-Line)","8 lbs (3.62 kg)","-","Polyamide (PA66), Nylon 6/6","Natural"
http://www.panduit.com/heiler/PartDrawings/C-CTBT1M-BT1M-BT-0037-1--ENG.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/BTSeries_Natural.JPG,298-1063-ND,BT1M-C,Panduit Corp,CABLE TIE BARB TY 18LB 4.0"",23800,0,"0.15230","0","100","100 per Pkg","DOME-TOP® BARB-TY® BT","Active","Standard, Locking","4.00""","0.90"" (22.86mm)","0.095"" (2.40mm)","0.333' (101.60mm, 4.00"")","Free Hanging (In-Line)","18 lbs (8.16 kg)","-","Polyamide (PA66), Nylon 6/6","Natural"
http://www.panduit.com/heiler/PartDrawings/C-CTPLT-6SM-SS-5540-1--ENG.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/PLT%20SERIES%20NATURAL.jpg,298-1020-ND,PLT1M-C,Panduit Corp,CABLE TIE MINI 18LB 3.9"",102400,0,"0.15790","0","100","100 per Pkg","PAN-TY® PLT","Active","Standard, Locking","4.00""","0.87"" (22.10mm)","0.098"" (2.50mm)","0.325' (99.06mm, 3.90"")","Free Hanging (In-Line)","18 lbs (8.16 kg)","-","Polyamide (PA66), Nylon 6/6","Natural"
http://www.panduit.com/heiler/PartDrawings/C-CTPLT-6SM-SS-5540-1--ENG.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/PLT%20SERIES%20BLACK.jpg,298-1037-ND,PLT.6SM-C0,Panduit Corp,TIE CABLE PAN-TY 8LB 2.8"",30400,0,"0.16880","0","100","100 per Pkg","PAN-TY® PLT","Active","Standard, Locking","2.75""","0.60"" (15.24mm)","0.070"" (1.80mm)","0.233' (71.12mm, 2.80"")","Free Hanging (In-Line)","8 lbs (3.62 kg)","Weather Resistant","Polyamide (PA66), Nylon 6/6","Black"
http://wpc.ac62.edgecastcdn.net/00AC62/drawings/CT2030003CST.pdf,//media.digikey.com/Photos/HellermannTyton%20Photos/T30R0M4.JPG,1436-1543-ND,T30LL0M4,HellermannTyton,CABLE TIE 11.4""L 30LB BLACK,15000,0,"0.17155","0","1000","1000 per Pkg","-","Active","Standard, Locking","11.50""","3.15"" (80.00mm)","0.138"" (3.50mm)","0.951' (290.00mm, 11.42"")","Free Hanging (In-Line)","30 lbs (13.61 kg)","-","Polyamide (PA66), Nylon 6/6","Black"
http://www.panduit.com/heiler/PartDrawings/C-CTPLT-6SM-SS-5540-1--ENG.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/PLT%20SERIES%20BLACK.jpg,298-1040-ND,PLT1M-C0,Panduit Corp,CABLE TIE MINI 18LB 3.9"",37300,0,"0.19410","0","100","100 per Pkg","PAN-TY® PLT","Active","Standard, Locking","4.00""","0.87"" (22.10mm)","0.098"" (2.50mm)","0.325' (99.06mm, 3.90"")","Free Hanging (In-Line)","18 lbs (8.16 kg)","Weather Resistant","Polyamide (PA66), Nylon 6/6","Black"
http://www.panduit.com/heiler/PartDrawings/C-CTBT1M-BT1M-BT-0037-1--ENG.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_BTSeries_Blk.jpg,298-1080-ND,BT1M-C0,Panduit Corp,CABLE TIE BARB TY 18LB 4.0"",15300,0,"0.19410","0","100","100 per Pkg","DOME-TOP® BARB-TY® BT","Active","Standard, Locking","4.00""","0.90"" (22.86mm)","0.095"" (2.40mm)","0.333' (101.60mm, 4.00"")","Free Hanging (In-Line)","18 lbs (8.16 kg)","Weather Resistant","Polyamide (PA66), Nylon 6/6","Black"
http://www.panduit.com/heiler/PartDrawings/C-CTPLT-6SM-SS-5540-1--ENG.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/PLT%20SERIES%20NATURAL.jpg,298-1024-ND,PLT1.5M-C,Panduit Corp,CABLE TIE MINI 18LB 5.6"",19400,0,"0.19710","0","100","100 per Pkg","PAN-TY® PLT","Active","Standard, Locking","5.50""","1.25"" (31.75mm)","0.098"" (2.50mm)","0.467' (142.24mm, 5.60"")","Free Hanging (In-Line)","18 lbs (8.16 kg)","-","Polyamide (PA66), Nylon 6/6","Natural"
https://gp1.wpc.edgecastcdn.net/00AC62/drawings/CT2030001CST.pdf,//media.digikey.com/Photos/HellermannTyton%20Photos/150-55850.jpg,1436-1031-ND,150-55850,HellermannTyton,FIR TREE W/5.8""L TIE BLACK,61500,0,"0.21624","0","500","500 per Pkg","-","Active","Standard, Locking","5.75""","1.38"" (35.00mm)","0.142"" (3.61mm)","0.486' (148.00mm, 5.83"")","Push Mount, Fir Tree","30 lbs (13.61 kg)","Heat Stabilized, Impact Modified, UV Resistant","Polyamide (PA66), Nylon 6/6","Black"
http://www.panduit.com/heiler/PartDrawings/C-CTPLT-6SM-SS-5540-1--ENG.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/PLT%20SERIES%20BLACK.jpg,298-1044-ND,PLT1.5M-C0,Panduit Corp,CABLE TIE MINI 18LB 5.6"",4800,0,"0.21960","0","100","100 per Pkg","PAN-TY® PLT","Active","Standard, Locking","5.50""","1.25"" (31.75mm)","0.098"" (2.50mm)","0.467' (142.24mm, 5.60"")","Free Hanging (In-Line)","18 lbs (8.16 kg)","Weather Resistant","Polyamide (PA66), Nylon 6/6","Black"
http://wpc.ac62.edgecastcdn.net/00AC62/drawings/XCT-SING017CST.pdf,//media.digikey.com/Photos/HellermannTyton%20Photos/111-85871.jpg,1436-1035-ND,111-85871,HellermannTyton,FIR TREE W/8""L TIE BLACK,46500,0,"0.22634","0","500","500 per Pkg","-","Active","Standard, Locking","8.00""","1.73"" (44.00mm)","0.181"" (4.60mm)","0.667' (203.20mm, 8.00"")","Push Mount, Fir Tree","50 lbs (22.68 kg)","Heat Stabilized","Polyamide (PA66), Nylon 6/6","Black"
http://www.panduit.com/heiler/PartDrawings/C-CTPLT-6SM-SS-5540-1--ENG.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/PLT%20SERIES%20NATURAL.jpg,298-1034-ND,PLT3S-M,Panduit Corp,CABLE TIE STD 50LB 11.5"",42500,0,"0.23624","0","1000","1000 per Pkg","PAN-TY® PLT","Active","Standard, Locking","11.50""","3.00"" (76.20mm)","0.190"" (4.83mm)","0.958' (292.10mm, 11.50"")","Free Hanging (In-Line)","50 lbs (22.68 kg)","-","Polyamide (PA66), Nylon 6/6","Natural"
https://gp1.wpc.edgecastcdn.net/00AC62/drawings/CT1051001CST.pdf,//media.digikey.com/Photos/HellermannTyton%20Photos/MFG_T50RTM250HSM4.jpg,1436-1835-ND,T50RTM250HSM4,HellermannTyton,FIRTREEPSH MNT 50LB 8.27"",6000,0,"0.29137","0","1000","1000 per Pkg","-","Active","Standard, Releasable","8.25""","1.97"" (50.00mm)","0.185"" (4.70mm)","0.689' (210.00mm, 8.27"")","Push Mount, Fir Tree","50 lbs (22.68 kg)","Heat Stabilized","Polyamide (PA66), Nylon 6/6","Black"
http://www.panduit.com/heiler/PartDrawings/C-CTPLC1M-S4-SS-2724--ENG.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/PLC%20SERIES%20NATURAL.jpg,298-1000-ND,PLC1M-S4-C,Panduit Corp,CLAMP TIE MIN 18LBS #4 4.3"",10800,0,"0.29540","0","100","100 per Pkg","PAN-TY® PLC","Active","Standard, Locking","4.25""","0.75"" (19.05mm)","0.100"" (2.54mm)","0.358' (109.12mm, 4.30"")","Screw Mount, Mounting Hole","18 lbs (8.16 kg)","-","Polyamide (PA66), Nylon 6/6","Natural"
http://www.panduit.com/heiler/PartDrawings/C-CTPLT4S-SS-5540-3--ENG.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/PLT%20SERIES%20BLACK.jpg,298-1056-ND,PLT4S-M0,Panduit Corp,CABLE TIE HEAVY 50LB 14.5"",25000,0,"0.29813","0","1000","1000 per Pkg","PAN-TY® PLT","Active","Standard, Locking","14.50""","4.00"" (101.60mm)","0.190"" (4.83mm)","1.208' (368.30mm)","Free Hanging (In-Line)","50 lbs (22.68 kg)","Weather Resistant","Polyamide (PA66), Nylon 6/6","Black"
http://wpc.ac62.edgecastcdn.net/00AC62/drawings/XCT-SING018CST.pdf,//media.digikey.com/Photos/HellermannTyton%20Photos/150-31090.jpg,1436-1046-ND,150-31090,HellermannTyton,FIR TREE W/5.8""L TIE BLACK,1500,0,"0.33140","0","500","500 per Pkg","-","Active","Standard, Locking","5.75""","1.38"" (35.00mm)","0.140"" (3.56mm)","0.486' (148.00mm, 5.83"")","Push Mount, Fir Tree","30 lbs (13.61 kg)","Heat Stabilized","Polyamide (PA66), Nylon 6/6","Black"
http://www.panduit.com/heiler/PartDrawings/C-CTPLT3I-SS-5540-2--ENG.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/PLT%20SERIES%20BLACK.jpg,298-1052-ND,PLT3I-C0,Panduit Corp,CABLE TIE INTERMED 40LB 11.4"",12200,0,"0.41860","0","100","100 per Pkg","PAN-TY® PLT","Active","Standard, Locking","11.50""","3.00"" (76.20mm)","0.145"" (3.68mm)","0.950' (289.56mm, 11.40"")","Free Hanging (In-Line)","40 lbs (18.14 kg)","Weather Resistant","Polyamide (PA66), Nylon 6/6","Black"
https://gp1.wpc.edgecastcdn.net/00AC62/drawings/CT2050007CST.pdf,//media.digikey.com/Photos/HellermannTyton%20Photos/156-00376.jpg,1436-1054-ND,156-00376,HellermannTyton,FIRTREE MNT W/TIE 50LB 8""L BLK,23000,0,"0.45194","0","500","500 per Pkg","-","Active","Standard, Locking","8.00""","1.73"" (44.00mm)","0.181"" (4.60mm)","0.667' (203.20mm, 8.00"")","Push Mount, Fir Tree","50 lbs (22.68 kg)","Heat Stabilized","Polyamide (PA66), Nylon 6/6","Black"
http://www.panduit.com/heiler/PartDrawings/C-CTPRT1S--ENG.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_PRT4S-M3.jpg,298-14037-ND,PRT4S-M3,Panduit Corp,TIE PAN TY REL NYL ORA 14.5"",8000,0,"0.51874","0","1000","1000 per Pkg","PAN-TY® PRT","Active","Standard, Releasable","14.50""","4.00"" (101.60mm)","0.190"" (4.83mm)","1.208' (368.30mm)","Free Hanging (In-Line)","50 lbs (22.68 kg)","-","Polyamide (PA66), Nylon 6/6","Orange"
http://www.panduit.com/heiler/PartDrawings/C-CTBT1-5I-BT-0037-2--ENG.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_BTSeries_Blk.jpg,298-1087-ND,BT4S-C0,Panduit Corp,CABLE TIE BARB TY 50LB 14.4"",10100,0,"0.52310","0","100","100 per Pkg","DOME-TOP® BARB-TY® BT","Active","Standard, Locking","15.00""","4.00"" (101.60mm)","0.185"" (4.70mm)","1.260' (384.00mm)","Free Hanging (In-Line)","50 lbs (22.68 kg)","Weather Resistant","Polyamide (PA66), Nylon 6/6","Black"
http://www.panduit.com/heiler/PartDrawings/C-CTPLT1M-C76--ENG.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_PLT_AQUA.jpg,298-10505-ND,PLT1M-M76,Panduit Corp,CABLE TIE MINI ETFE BLUE 4.0"",12000,0,"0.70748","0","1000","1000 per Pkg","PAN-TY® PLT","Active","Standard, Locking","4.00""","0.87"" (22.10mm)","0.098"" (2.50mm)","0.333' (101.60mm, 4.00"")","Free Hanging (In-Line)","18 lbs (8.16 kg)","Flame Retardant, Radiation Resistant","Ethylenterafluorineethylene (ETFE)","Blue, Aqua"
http://wpc.ac62.edgecastcdn.net/00AC62/drawings/XCT-TCJ041CST.pdf,//media.digikey.com/Photos/HellermannTyton%20Photos/111-00659.jpg,1436-1014-ND,111-00659,HellermannTyton,HIGH TEMP 4""L 18LB BLUE,55500,0,"0.90590","0","100","100 per Pkg","-","Active","Standard, Locking","4.00""","0.86"" (22.00mm)","0.098"" (2.50mm)","0.328' (100.00mm, 3.93"")","Free Hanging (In-Line)","18 lbs (8.16 kg)","-","Ethylenterafluorineethylene (ETFE)","Blue"
http://www.panduit.com/heiler/PartDrawings/C-CTPLT1M-C76--ENG.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/PLT1M-C76.JPG,298-10504-ND,PLT1M-C76,Panduit Corp,CABLE TIE MINI ETFE BLUE 4.0"",31400,0,"0.93880","0","100","100 per Pkg","PAN-TY® PLT","Active","Standard, Locking","4.00""","0.87"" (22.10mm)","0.098"" (2.50mm)","0.333' (101.60mm, 4.00"")","Free Hanging (In-Line)","18 lbs (8.16 kg)","Flame Retardant, Radiation Resistant","Ethylenterafluorineethylene (ETFE)","Blue, Aqua"
http://www.panduit.com/heiler/PartDrawings/C-SSMLT4S-CP--ENG.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/MLT...CP.jpg,298-1101-ND,MLT2S-CP,Panduit Corp,CABLE TIE 304 SS 200LB 7.9""L,4200,0,"0.97260","0","100","100 per Pkg","Pan-Steel® MLT","Active","Standard, Locking","8.00""","2.00"" (50.80mm)","0.180"" (4.57mm)","0.658' (200.66mm, 7.90"")","Free Hanging (In-Line)","200 lbs (90.72 kg)","-","Stainless Steel 304","Silver"
http://wpc.ac62.edgecastcdn.net/00AC62/drawings/XCT-HMAN161CST.pdf,//media.digikey.com/Photos/HellermannTyton%20Photos/MFG_156-01601.jpg,1436-1758-ND,156-01601,HellermannTyton,CABLE TIE/EDGE CLIP 50LB 8"",5500,0,"1.12882","0","500","500 per Pkg","-","Active","Standard, Locking","7.75""","1.85"" (46.99mm)","0.181"" (4.60mm)","0.656' (200.00mm, 7.87"")","Edge Clip","50 lbs (22.68 kg)","Heat Stabilized","Polyamide (PA66), Nylon 6/6","Black"
