Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type","Number of Channels","Voltage - Isolation","Common Mode Transient Immunity (Min)","Input Type","Current - Output / Channel","Propagation Delay tpLH / tpHL (Max)","Rise / Fall Time (Typ)","Voltage - Forward (Vf) (Typ)","Current - DC Forward (If) (Max)","Voltage - Supply","Operating Temperature","Mounting Type","Package / Case","Supplier Device Package","Approvals"
https://docs.broadcom.com/docs/AV02-2352EN,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-DIP.jpg,516-1546-5-ND,HCPL-4100-000E,Broadcom Limited,OPTOISO 3.75KV TRANSMITTER 8DIP,1283,0,"7.55000","0","1","Tube","-","Active","Current Loop Transmitter","1","3750Vrms","1kV/µs","Logic","30mA","1.6µs, 1µs","16ns, 23ns","-","-","4.5V ~ 20V","-40°C ~ 85°C","Through Hole","8-DIP (0.300"", 7.62mm)","8-DIP","CSA, UR"
https://docs.broadcom.com/docs/AV02-2353EN,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-DIP.jpg,516-1547-5-ND,HCPL-4200-000E,Broadcom Limited,OPTOISO 3.75KV RECEIVER 8DIP,448,0,"7.55000","0","1","Tube","-","Active","Current Loop Receiver","1","3750Vrms","1kV/µs","DC","25mA","1.6µs, 1µs","55ns, 15ns","-","-","4.5V ~ 20V","-40°C ~ 85°C","Through Hole","8-DIP (0.300"", 7.62mm)","8-DIP","CSA, UR"
https://docs.broadcom.com/docs/AV02-2352EN,//media.digikey.com/Renders/Silicon%20Labs%20Renders/8-SMD.jpg,516-2607-5-ND,HCPL-4100-300E,Broadcom Limited,OPTOISO 3.75KV TRNSMTR 8DIP GW,514,0,"7.60000","0","1","Tube","-","Active","Current Loop Transmitter","1","3750Vrms","1kV/µs","Logic","30mA","1.6µs, 1µs","16ns, 23ns","-","-","4.5V ~ 20V","-40°C ~ 85°C","Surface Mount","8-SMD, Gull Wing","8-DIP Gull Wing","CSA, UR"
https://docs.broadcom.com/docs/AV02-2353EN,//media.digikey.com/Renders/Silicon%20Labs%20Renders/8-SMD.jpg,516-2386-5-ND,HCPL-4200-300E,Broadcom Limited,OPTOISO 3.75KV RECEIVER 8DIP GW,256,0,"7.60000","0","1","Tube","-","Active","Current Loop Receiver","1","3750Vrms","1kV/µs","DC","25mA","1.6µs, 1µs","55ns, 15ns","-","-","4.5V ~ 20V","-40°C ~ 85°C","Surface Mount","8-SMD, Gull Wing","8-DIP Gull Wing","CSA, UR"
https://lunainc.com/wp-content/uploads/2016/06/NSL-28.pdf,//media.digikey.com/Photos/Advanced%20Photonix%20Photos/NSL-28.jpg,NSL-28-ND,NSL-28,Advanced Photonix,OPTOISO PHOTOCELL OPTOCOUPLER,926,0,"10.87000","0","1","Bulk","-","Active","Photocell Optocoupler","1","-","-","-","-","-","5ms, 80ms","-","40mA","100V (Max)","-","Free Hanging","Module","-","-"
https://docs.broadcom.com/docs/AFBR-POCxxxL-DS103,//media.digikey.com/Photos/Broadcom/MFG_AFBR-POC40xL.jpg,516-3891-ND,AFBR-POC404L,Broadcom Limited,PWR CONVERT OPTICAL 5V ST CONN,44,0,"402.99000","0","1","Bulk","-","Active","Optical Power Converter","1","-","-","-","170mA","-","-","-","-","-","-40°C ~ 85°C","Through Hole","Radial","-","-"
https://docs.broadcom.com/docs/AV01-0568EN,//media.digikey.com/Renders/Silicon%20Labs%20Renders/8-SMD.jpg,516-3493-ND,HCPL-2602-300E,Broadcom Limited,OPTOISO 3.75KV LINE RX 8DIP GW,1387,0,"6.85000","0","1","Tube","-","Active","Line Receiver","1","3750Vrms","1kV/µs","AC, DC","50mA","75ns, 75ns","24ns, 10ns","2.3V","60mA","4.5V ~ 5.5V","-40°C ~ 85°C","Surface Mount","8-SMD, Gull Wing","8-DIP Gull Wing","CSA, UR"
https://docs.broadcom.com/docs/AV01-0568EN,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-DIP.jpg,516-1147-5-ND,HCPL-2612,Broadcom Limited,OPTOISO 3.75KV LINE RX 8DIP,442,0,"14.24000","0","1","Tube","-","Active","Line Receiver","1","3750Vrms","3.5kV/µs","AC, DC","50mA","75ns, 75ns","24ns, 10ns","2.3V","60mA","4.5V ~ 5.5V","-40°C ~ 85°C","Through Hole","8-DIP (0.300"", 7.62mm)","8-DIP","CSA, UR"
https://docs.broadcom.com/docs/AV01-0568EN,//media.digikey.com/Renders/Silicon%20Labs%20Renders/8-SMD.jpg,516-4051-2-ND,HCPL-2602-500E,Broadcom Limited,OPTOISO 3.75KV LINE RX 8DIP GW,1000,0,"3.36128","0","1000","Tape & Reel (TR)","-","Active","Line Receiver","1","3750Vrms","1kV/µs","AC, DC","50mA","75ns, 75ns","24ns, 10ns","2.3V","60mA","4.5V ~ 5.5V","-40°C ~ 85°C","Surface Mount","8-SMD, Gull Wing","8-DIP Gull Wing","CSA, UR"
https://docs.broadcom.com/docs/AV01-0568EN,//media.digikey.com/Renders/Silicon%20Labs%20Renders/8-SMD.jpg,516-4051-1-ND,HCPL-2602-500E,Broadcom Limited,OPTOISO 3.75KV LINE RX 8DIP GW,1000,0,"7.53000","0","1","Cut Tape (CT)","-","Active","Line Receiver","1","3750Vrms","1kV/µs","AC, DC","50mA","75ns, 75ns","24ns, 10ns","2.3V","60mA","4.5V ~ 5.5V","-40°C ~ 85°C","Surface Mount","8-SMD, Gull Wing","8-DIP Gull Wing","CSA, UR"
https://docs.broadcom.com/docs/AV01-0568EN,//media.digikey.com/Renders/Silicon%20Labs%20Renders/8-SMD.jpg,516-4051-6-ND,HCPL-2602-500E,Broadcom Limited,OPTOISO 3.75KV LINE RX 8DIP GW,1000,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Line Receiver","1","3750Vrms","1kV/µs","AC, DC","50mA","75ns, 75ns","24ns, 10ns","2.3V","60mA","4.5V ~ 5.5V","-40°C ~ 85°C","Surface Mount","8-SMD, Gull Wing","8-DIP Gull Wing","CSA, UR"
https://docs.broadcom.com/docs/AV02-2352EN,//media.digikey.com/Renders/Silicon%20Labs%20Renders/8-SMD.jpg,516-4211-2-ND,HCPL-4100-500E,Broadcom Limited,OPTOISO 3.75KV TRNSMTR 8DIP GW,0,0,"3.72892","0","1000","Tape & Reel (TR)","-","Active","Current Loop Transmitter","1","3750Vrms","1kV/µs","Logic","30mA","1.6µs, 1µs","16ns, 23ns","-","-","4.5V ~ 20V","-40°C ~ 85°C","Surface Mount","8-SMD, Gull Wing","8-DIP Gull Wing","CSA, UR"
https://docs.broadcom.com/docs/AV02-2352EN,//media.digikey.com/Renders/Silicon%20Labs%20Renders/8-SMD.jpg,516-4211-1-ND,HCPL-4100-500E,Broadcom Limited,OPTOISO 3.75KV TRNSMTR 8DIP GW,990,0,"8.35000","0","1","Cut Tape (CT)","-","Active","Current Loop Transmitter","1","3750Vrms","1kV/µs","Logic","30mA","1.6µs, 1µs","16ns, 23ns","-","-","4.5V ~ 20V","-40°C ~ 85°C","Surface Mount","8-SMD, Gull Wing","8-DIP Gull Wing","CSA, UR"
https://docs.broadcom.com/docs/AV02-2352EN,//media.digikey.com/Renders/Silicon%20Labs%20Renders/8-SMD.jpg,516-4211-6-ND,HCPL-4100-500E,Broadcom Limited,OPTOISO 3.75KV TRNSMTR 8DIP GW,990,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Current Loop Transmitter","1","3750Vrms","1kV/µs","Logic","30mA","1.6µs, 1µs","16ns, 23ns","-","-","4.5V ~ 20V","-40°C ~ 85°C","Surface Mount","8-SMD, Gull Wing","8-DIP Gull Wing","CSA, UR"
https://docs.broadcom.com/docs/AV02-2353EN,//media.digikey.com/Renders/Silicon%20Labs%20Renders/8-SMD.jpg,516-4212-2-ND,HCPL-4200-500E,Broadcom Limited,OPTOISO 3.75KV RECEIVER 8DIP GW,0,0,"3.72892","0","1000","Tape & Reel (TR)","-","Active","Current Loop Receiver","1","3750Vrms","1kV/µs","DC","25mA","1.6µs, 1µs","55ns, 15ns","-","-","4.5V ~ 20V","-40°C ~ 85°C","Surface Mount","8-SMD, Gull Wing","8-DIP Gull Wing","CSA, UR"
https://docs.broadcom.com/docs/AV02-2353EN,//media.digikey.com/Renders/Silicon%20Labs%20Renders/8-SMD.jpg,516-4212-1-ND,HCPL-4200-500E,Broadcom Limited,OPTOISO 3.75KV RECEIVER 8DIP GW,582,0,"8.35000","0","1","Cut Tape (CT)","-","Active","Current Loop Receiver","1","3750Vrms","1kV/µs","DC","25mA","1.6µs, 1µs","55ns, 15ns","-","-","4.5V ~ 20V","-40°C ~ 85°C","Surface Mount","8-SMD, Gull Wing","8-DIP Gull Wing","CSA, UR"
https://docs.broadcom.com/docs/AV02-2353EN,//media.digikey.com/Renders/Silicon%20Labs%20Renders/8-SMD.jpg,516-4212-6-ND,HCPL-4200-500E,Broadcom Limited,OPTOISO 3.75KV RECEIVER 8DIP GW,582,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Current Loop Receiver","1","3750Vrms","1kV/µs","DC","25mA","1.6µs, 1µs","55ns, 15ns","-","-","4.5V ~ 20V","-40°C ~ 85°C","Surface Mount","8-SMD, Gull Wing","8-DIP Gull Wing","CSA, UR"
https://docs.broadcom.com/docs/AFBR-POCxxxL-DS103,//media.digikey.com/Photos/Broadcom/MFG_AFBR-POC20xL.jpg,516-3889-ND,AFBR-POC204L,Broadcom Limited,PWR CONVERT OPTICAL 5V FC CONN,25,0,"402.99000","0","1","Bulk","-","Active","Optical Power Converter","1","-","-","-","170mA","-","-","-","-","-","-40°C ~ 85°C","Through Hole","Radial","-","-"
https://docs.broadcom.com/docs/AFBR-POCxxxL-DS103,//media.digikey.com/Photos/Broadcom/MFG_AFBR-POC40xL.jpg,516-3892-ND,AFBR-POC406L,Broadcom Limited,PWR CONVERT OPTICAL 5V ST CONN,17,0,"402.99000","0","1","Bulk","-","Active","Optical Power Converter","1","-","-","-","170mA","-","-","-","-","-","-40°C ~ 85°C","Through Hole","Radial","-","-"
-,-,516-4332-ND,ACNT-H343-000E,Broadcom Limited,5 AMP GATE DRIVE OPTOCOUPLER,0,0,"6.69000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
http://www.ixysic.com/home/pdfs.nsf/www/CPC5903.pdf/$file/CPC5903.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-DIP.jpg,CPC5903G-ND,CPC5903G,IXYS Integrated Circuits Division,OPTOISO 3.75KV 1CH BIDIR 8DIP,0,0,"1.91520","0","1000","Tube","-","Active","I²C Repeater","2","3750Vrms","-","I²C","-","-","-","-","-","2.7V ~ 5.5V","-40°C ~ 85°C","Through Hole","8-DIP (0.300"", 7.62mm)","8-DIP","UR, TUV"
http://www.ixysic.com/home/pdfs.nsf/www/CPC5903.pdf/$file/CPC5903.pdf,//media.digikey.com/Renders/Silicon%20Labs%20Renders/8-SMD.jpg,CPC5903GS-ND,CPC5903GS,IXYS Integrated Circuits Division,OPTOISO 3.75KV 1CH BIDIR 8SMD,0,0,"1.91520","0","1000","Tube","-","Active","I²C Repeater","2","3750Vrms","-","I²C","-","-","-","-","-","2.7V ~ 5.5V","-40°C ~ 85°C","Surface Mount","8-SMD, Gull Wing","8-SMD","UR, TUV"
http://www.ixysic.com/home/pdfs.nsf/www/CPC5903.pdf/$file/CPC5903.pdf,//media.digikey.com/Renders/Silicon%20Labs%20Renders/8-SMD.jpg,CPC5903GSTR-ND,CPC5903GSTR,IXYS Integrated Circuits Division,OPTOISO 3.75KV 1CH BIDIR 8SMD,0,0,"1.91520","0","1000","Tape & Reel (TR)","-","Active","I²C Repeater","2","3750Vrms","-","I²C","-","-","-","-","-","2.7V ~ 5.5V","-40°C ~ 85°C","Surface Mount","8-SMD, Gull Wing","8-SMD","UR, TUV"
http://www.ixysic.com/home/pdfs.nsf/www/CPC5902.pdf/$file/CPC5902.pdf,//media.digikey.com/Renders/Silicon%20Labs%20Renders/8-SMD.jpg,CPC5902GSTR-ND,CPC5902GSTR,IXYS Integrated Circuits Division,OPTOISO 3.75KV 2CH BIDIR 8SMD,0,0,"2.10140","0","1000","Tape & Reel (TR)","-","Active","I²C Repeater","2","3750Vrms","-","I²C","-","-","-","-","-","2.7V ~ 5.5V","-40°C ~ 85°C","Surface Mount","8-SMD, Gull Wing","8-SMD","UR, TUV"
https://lunainc.com/wp-content/uploads/2016/06/NSL-32H-103.pdf,//media.digikey.com/Photos/Advanced%20Photonix%20Photos/NSL-32-Series.jpg,NSL-32H-103TR-ND,NSL-32H-103,Advanced Photonix,OPTOISO PHOTOCELL OPTOCOUPLER,0,0,"Obsolete","0","1500","Tape & Reel (TR)","-","Obsolete","Photocell Optocoupler","1","-","-","-","-","-","-","-","40mA","60V (Max)","-","Through Hole","Module","-","-"
https://lunainc.com/wp-content/uploads/2016/06/NSL-32H-103.pdf,//media.digikey.com/Photos/Advanced%20Photonix%20Photos/NSL-32-Series.jpg,NSL-32H-103CT-ND,NSL-32H-103,Advanced Photonix,OPTOISO PHOTOCELL OPTOCOUPLER,12,0,"3.14000","0","1","Cut Tape (CT)","-","Obsolete","Photocell Optocoupler","1","-","-","-","-","-","-","-","40mA","60V (Max)","-","Through Hole","Module","-","-"
-,-,ACNT-H343-500E-ND,ACNT-H343-500E,Broadcom Limited,5 AMPGATE DRIVE 15MM OPTOCOUPLER,0,0,"3.30876","0","1000","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
https://docs.broadcom.com/docs/AV01-0568EN,//media.digikey.com/Renders/Silicon%20Labs%20Renders/8-SMD.jpg,HCPL-2612-500E-ND,HCPL-2612-500E,Broadcom Limited,OPTOISO 3.75KV LINE RX 8DIP GW,0,0,"3.79600","0","1000","Tape & Reel (TR)","-","Active","Line Receiver","1","3750Vrms","3.5kV/µs","AC, DC","50mA","75ns, 75ns","24ns, 10ns","2.3V","60mA","4.5V ~ 5.5V","-40°C ~ 85°C","Surface Mount","8-SMD, Gull Wing","8-DIP Gull Wing","CSA, UR"
https://docs.broadcom.com/docs/AV01-0568EN,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-DIP.jpg,516-1664-5-ND,HCPL-2612-000E,Broadcom Limited,OPTOISO 3.75KV LINE RX 8DIP,0,0,"3.85700","0","900","Tube","-","Active","Line Receiver","1","3750Vrms","3.5kV/µs","AC, DC","50mA","75ns, 75ns","24ns, 10ns","2.3V","60mA","4.5V ~ 5.5V","-40°C ~ 85°C","Through Hole","8-DIP (0.300"", 7.62mm)","8-DIP","CSA, UR"
https://docs.broadcom.com/docs/AV01-0568EN,//media.digikey.com/Renders/Silicon%20Labs%20Renders/8-SMD.jpg,HCPL-2612-300E-ND,HCPL-2612-300E,Broadcom Limited,OPTOISO 3.75KV LINE RX 8DIP GW,0,0,"3.88360","0","900","Tube","-","Active","Line Receiver","1","3750Vrms","3.5kV/µs","AC, DC","50mA","75ns, 75ns","24ns, 10ns","2.3V","60mA","4.5V ~ 5.5V","-40°C ~ 85°C","Surface Mount","8-SMD, Gull Wing","8-DIP Gull Wing","CSA, UR"
https://docs.broadcom.com/docs/AV01-0568EN,//media.digikey.com/Renders/Silicon%20Labs%20Renders/8-SMD.jpg,HCPL-2602#500-ND,HCPL-2602#500,Broadcom Limited,OPTOISO 3.75KV LINE RX 8DIP GW,0,0,"4.31600","0","1000","Tape & Reel (TR)","-","Active","Line Receiver","1","3750Vrms","1kV/µs","AC, DC","50mA","75ns, 75ns","24ns, 10ns","2.3V","60mA","4.5V ~ 5.5V","-40°C ~ 85°C","Surface Mount","8-SMD, Gull Wing","8-DIP Gull Wing","CSA, UR"
https://docs.broadcom.com/docs/AV01-0568EN,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-DIP.jpg,516-1146-5-ND,HCPL-2602,Broadcom Limited,OPTOISO 3.75KV LINE RX 8DIP,0,0,"4.38900","0","800","Tube","-","Active","Line Receiver","1","3750Vrms","1kV/µs","AC, DC","50mA","75ns, 75ns","24ns, 10ns","2.3V","60mA","4.5V ~ 5.5V","-40°C ~ 85°C","Through Hole","8-DIP (0.300"", 7.62mm)","8-DIP","CSA, UR"
https://docs.broadcom.com/docs/AV01-0568EN,//media.digikey.com/Renders/Silicon%20Labs%20Renders/8-SMD.jpg,HCPL-2602#300-ND,HCPL-2602#300,Broadcom Limited,OPTOISO 3.75KV LINE RX 8DIP GW,0,0,"4.41560","0","800","Tube","-","Active","Line Receiver","1","3750Vrms","1kV/µs","AC, DC","50mA","75ns, 75ns","24ns, 10ns","2.3V","60mA","4.5V ~ 5.5V","-40°C ~ 85°C","Surface Mount","8-SMD, Gull Wing","8-DIP Gull Wing","CSA, UR"
https://docs.broadcom.com/docs/AV02-2353EN,//media.digikey.com/Renders/Silicon%20Labs%20Renders/8-SMD.jpg,HCPL-4200#500-ND,HCPL-4200#500,Broadcom Limited,OPTOISO 3.75KV RECEIVER 8DIP GW,0,0,"5.09600","0","1000","Tape & Reel (TR)","-","Active","Current Loop Receiver","1","3750Vrms","1kV/µs","DC","25mA","1.6µs, 1µs","55ns, 15ns","-","-","4.5V ~ 20V","-40°C ~ 85°C","Surface Mount","8-SMD, Gull Wing","8-DIP Gull Wing","CSA, UR"
https://docs.broadcom.com/docs/AV02-2352EN,//media.digikey.com/Renders/Silicon%20Labs%20Renders/8-SMD.jpg,HCPL-4100#500-ND,HCPL-4100#500,Broadcom Limited,OPTOISO 3.75KV TRNSMTR 8DIP GW,0,0,"5.09600","0","1000","Tape & Reel (TR)","-","Active","Current Loop Transmitter","1","3750Vrms","1kV/µs","Logic","30mA","1.6µs, 1µs","16ns, 23ns","-","-","4.5V ~ 20V","-40°C ~ 85°C","Surface Mount","8-SMD, Gull Wing","8-DIP Gull Wing","CSA, UR"
https://docs.broadcom.com/docs/AV02-2352EN,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-DIP.jpg,516-1148-5-ND,HCPL-4100,Broadcom Limited,OPTOISO 3.75KV TRANSMITTER 8DIP,0,0,"5.36251","0","650","Tube","-","Active","Current Loop Transmitter","1","3750Vrms","1kV/µs","Logic","30mA","1.6µs, 1µs","16ns, 23ns","-","-","4.5V ~ 20V","-40°C ~ 85°C","Through Hole","8-DIP (0.300"", 7.62mm)","8-DIP","CSA, UR"
https://docs.broadcom.com/docs/AV02-2353EN,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-DIP.jpg,516-1149-5-ND,HCPL-4200,Broadcom Limited,OPTOISO 3.75KV RECEIVER 8DIP,0,0,"5.36251","0","650","Tube","-","Active","Current Loop Receiver","1","3750Vrms","1kV/µs","DC","25mA","1.6µs, 1µs","55ns, 15ns","-","-","4.5V ~ 20V","-40°C ~ 85°C","Through Hole","8-DIP (0.300"", 7.62mm)","8-DIP","CSA, UR"
https://docs.broadcom.com/docs/AV02-2352EN,//media.digikey.com/Renders/Silicon%20Labs%20Renders/8-SMD.jpg,HCPL-4100#300-ND,HCPL-4100#300,Broadcom Limited,OPTOISO 3.75KV TRNSMTR 8DIP GW,0,0,"5.39000","0","650","Tube","-","Active","Current Loop Transmitter","1","3750Vrms","1kV/µs","Logic","30mA","1.6µs, 1µs","16ns, 23ns","-","-","4.5V ~ 20V","-40°C ~ 85°C","Surface Mount","8-SMD, Gull Wing","8-DIP Gull Wing","CSA, UR"
https://docs.broadcom.com/docs/AV02-2353EN,//media.digikey.com/Renders/Silicon%20Labs%20Renders/8-SMD.jpg,HCPL-4200#300-ND,HCPL-4200#300,Broadcom Limited,OPTOISO 3.75KV RECEIVER 8DIP GW,0,0,"5.39000","0","650","Tube","-","Active","Current Loop Receiver","1","3750Vrms","1kV/µs","DC","25mA","1.6µs, 1µs","55ns, 15ns","-","-","4.5V ~ 20V","-40°C ~ 85°C","Surface Mount","8-SMD, Gull Wing","8-DIP Gull Wing","CSA, UR"
https://docs.broadcom.com/docs/AV01-0568EN,//media.digikey.com/Renders/Silicon%20Labs%20Renders/8-SMD.jpg,HCPL-2612#500-ND,HCPL-2612#500,Broadcom Limited,OPTOISO 3.75KV LINE RX 8DIP GW,0,0,"7.67550","0","1000","Tape & Reel (TR)","-","Active","Line Receiver","1","3750Vrms","3.5kV/µs","AC, DC","50mA","75ns, 75ns","24ns, 10ns","2.3V","60mA","4.5V ~ 5.5V","-40°C ~ 85°C","Surface Mount","8-SMD, Gull Wing","8-DIP Gull Wing","CSA, UR"
https://docs.broadcom.com/docs/AV01-0568EN,//media.digikey.com/Renders/Silicon%20Labs%20Renders/8-SMD.jpg,HCPL-2612#300-ND,HCPL-2612#300,Broadcom Limited,OPTOISO 3.75KV LINE RX 8DIP GW,0,0,"8.57851","0","450","Tube","-","Active","Line Receiver","1","3750Vrms","3.5kV/µs","AC, DC","50mA","75ns, 75ns","24ns, 10ns","2.3V","60mA","4.5V ~ 5.5V","-40°C ~ 85°C","Surface Mount","8-SMD, Gull Wing","8-DIP Gull Wing","CSA, UR"
https://docs.broadcom.com/docs/AV02-3835EN,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-DIP.jpg,516-1943-5-ND,HSSR-7110,Broadcom Limited,OPTOISO 1.5KV POWER MOSFET 8DIP,0,0,"84.22762","0","42","Tube","-","Active","Power MOSFET","1","1500VDC","-","DC","1.6A","6ms, 0.25ms","-","1.24V","20mA","-","-55°C ~ 125°C","Through Hole","8-DIP (0.300"", 7.62mm)","8-DIP","-"
