Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type","RF Family/Standard","Protocol","Modulation","Frequency","Data Rate (Max)","Power - Output","Sensitivity","Memory Size","Serial Interfaces","GPIO","Voltage - Supply","Current - Receiving","Current - Transmitting","Operating Temperature","Mounting Type","Package / Case","Supplier Device Package"
https://www.dialog-semiconductor.com/sites/default/files/da14585_product_brief.pdf,//media.digikey.com/Photos/Dialog%20Semiconductor/DA14585-00000AT2.JPG,1564-1047-1-ND,DA14585-00000AT2,Dialog Semiconductor GmbH,IC RF TXRX+MCU BLUETOOTH 40VFQFN,5705,0,"3.33000","0","1","Cut Tape (CT)","SmartBond™","Active","TxRx + MCU","Bluetooth","Bluetooth v5.0","-","2.4GHz","-","0dBm","-93dBm","64kB OTP, 128kB ROM, 96kB SRAM","I²C, SPI, UART","25","3.3V","3.7mA","3.4mA","-","Surface Mount","40-VFQFN Exposed Pad","40-QFN (5x5)"
https://www.dialog-semiconductor.com/sites/default/files/da14585_product_brief.pdf,//media.digikey.com/Photos/Dialog%20Semiconductor/DA14585-00000AT2.JPG,1564-1047-6-ND,DA14585-00000AT2,Dialog Semiconductor GmbH,IC RF TXRX+MCU BLUETOOTH 40VFQFN,5705,0,"Digi-Reel","0","1","Digi-Reel®","SmartBond™","Active","TxRx + MCU","Bluetooth","Bluetooth v5.0","-","2.4GHz","-","0dBm","-93dBm","64kB OTP, 128kB ROM, 96kB SRAM","I²C, SPI, UART","25","3.3V","3.7mA","3.4mA","-","Surface Mount","40-VFQFN Exposed Pad","40-QFN (5x5)"
https://www.semtech.com/uploads/documents/sx1231h.pdf,//media.digikey.com/Renders/Semtech%20Renders/24-QFN.jpg,SX1231HIMLTRTTR-ND,SX1231HIMLTRT,Semtech Corporation,IC RF TXRX ISM<1GHZ 24VQFN,6000,0,"1.52950","0","3000","Tape & Reel (TR)","-","Active","TxRx Only","General ISM < 1GHz","-","FSK, GFSK, GMSK, MSK, OOK","290MHz ~ 340MHz, 424MHz ~ 510MHz, 862MHz ~ 1.02GHz","300kbps","20dBm","-120dBm","-","SPI","6","2.4V ~ 3.6V","16mA","16mA ~ 130mA","-40°C ~ 85°C","Surface Mount","24-VQFN Exposed Pad","24-QFN (5x5)"
https://www.semtech.com/uploads/documents/sx1231h.pdf,//media.digikey.com/Renders/Semtech%20Renders/24-QFN.jpg,SX1231HIMLTRTCT-ND,SX1231HIMLTRT,Semtech Corporation,IC RF TXRX ISM<1GHZ 24VQFN,7407,0,"3.38000","0","1","Cut Tape (CT)","-","Active","TxRx Only","General ISM < 1GHz","-","FSK, GFSK, GMSK, MSK, OOK","290MHz ~ 340MHz, 424MHz ~ 510MHz, 862MHz ~ 1.02GHz","300kbps","20dBm","-120dBm","-","SPI","6","2.4V ~ 3.6V","16mA","16mA ~ 130mA","-40°C ~ 85°C","Surface Mount","24-VQFN Exposed Pad","24-QFN (5x5)"
https://www.semtech.com/uploads/documents/sx1231h.pdf,//media.digikey.com/Renders/Semtech%20Renders/24-QFN.jpg,SX1231HIMLTRTDKR-ND,SX1231HIMLTRT,Semtech Corporation,IC RF TXRX ISM<1GHZ 24VQFN,7407,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","TxRx Only","General ISM < 1GHz","-","FSK, GFSK, GMSK, MSK, OOK","290MHz ~ 340MHz, 424MHz ~ 510MHz, 862MHz ~ 1.02GHz","300kbps","20dBm","-120dBm","-","SPI","6","2.4V ~ 3.6V","16mA","16mA ~ 130mA","-40°C ~ 85°C","Surface Mount","24-VQFN Exposed Pad","24-QFN (5x5)"
http://www.st.com/content/ccc/resource/technical/document/datasheet/e8/76/3d/fb/28/e0/40/0b/DM00141263.pdf/files/DM00141263.pdf/jcr:content/translations/en.DM00141263.pdf,//media.digikey.com/Renders/STMicro%20Renders/WLCSP%2034.jpg,497-15381-2-ND,BLUENRG-MSCSP,STMicroelectronics,IC RF TXRX+MCU BLUETOOTH 34XFBGA,5000,0,"1.52950","0","2500","Tape & Reel (TR)","BlueNRG","Active","TxRx + MCU","Bluetooth","Bluetooth v4.1","GFSK","2.4GHz","1Mbps","8dBm","-88dBm","64kB Flash, 12kB RAM","SPI","-","1.7V ~ 3.6V","7.3mA ~ 14.5mA","5.8mA ~ 28.8mA","-40°C ~ 85°C","-","34-XFBGA, WLCSP","-"
http://www.st.com/content/ccc/resource/technical/document/datasheet/e8/76/3d/fb/28/e0/40/0b/DM00141263.pdf/files/DM00141263.pdf/jcr:content/translations/en.DM00141263.pdf,//media.digikey.com/Renders/STMicro%20Renders/WLCSP%2034.jpg,497-15381-1-ND,BLUENRG-MSCSP,STMicroelectronics,IC RF TXRX+MCU BLUETOOTH 34XFBGA,5832,0,"3.38000","0","1","Cut Tape (CT)","BlueNRG","Active","TxRx + MCU","Bluetooth","Bluetooth v4.1","GFSK","2.4GHz","1Mbps","8dBm","-88dBm","64kB Flash, 12kB RAM","SPI","-","1.7V ~ 3.6V","7.3mA ~ 14.5mA","5.8mA ~ 28.8mA","-40°C ~ 85°C","-","34-XFBGA, WLCSP","-"
http://www.st.com/content/ccc/resource/technical/document/datasheet/e8/76/3d/fb/28/e0/40/0b/DM00141263.pdf/files/DM00141263.pdf/jcr:content/translations/en.DM00141263.pdf,//media.digikey.com/Renders/STMicro%20Renders/WLCSP%2034.jpg,497-15381-6-ND,BLUENRG-MSCSP,STMicroelectronics,IC RF TXRX+MCU BLUETOOTH 34XFBGA,5832,0,"Digi-Reel","0","1","Digi-Reel®","BlueNRG","Active","TxRx + MCU","Bluetooth","Bluetooth v4.1","GFSK","2.4GHz","1Mbps","8dBm","-88dBm","64kB Flash, 12kB RAM","SPI","-","1.7V ~ 3.6V","7.3mA ~ 14.5mA","5.8mA ~ 28.8mA","-40°C ~ 85°C","-","34-XFBGA, WLCSP","-"
http://www.st.com/content/ccc/resource/technical/document/datasheet/e8/76/3d/fb/28/e0/40/0b/DM00141263.pdf/files/DM00141263.pdf/jcr:content/translations/en.DM00141263.pdf,//media.digikey.com/Renders/STMicro%20Renders/32-VFQFN%20(5x5).jpg,497-15639-2-ND,BLUENRG-MSQTR,STMicroelectronics,IC RF TXRX+MCU BLUETOOTH 32VFQFN,12000,0,"1.59600","0","3000","Tape & Reel (TR)","BlueNRG","Active","TxRx + MCU","Bluetooth","Bluetooth v4.1","GFSK","2.4GHz","1Mbps","8dBm","-88dBm","64kB Flash, 12kB RAM","SPI","-","1.7V ~ 3.6V","7.3mA ~ 14.5mA","5.8mA ~ 28.8mA","-40°C ~ 85°C","-","32-VFQFN Exposed Pad","-"
http://www.st.com/content/ccc/resource/technical/document/datasheet/e8/76/3d/fb/28/e0/40/0b/DM00141263.pdf/files/DM00141263.pdf/jcr:content/translations/en.DM00141263.pdf,//media.digikey.com/Renders/STMicro%20Renders/32-VFQFN%20(5x5).jpg,497-15639-1-ND,BLUENRG-MSQTR,STMicroelectronics,IC RF TXRX+MCU BLUETOOTH 32VFQFN,12911,0,"3.53000","0","1","Cut Tape (CT)","BlueNRG","Active","TxRx + MCU","Bluetooth","Bluetooth v4.1","GFSK","2.4GHz","1Mbps","8dBm","-88dBm","64kB Flash, 12kB RAM","SPI","-","1.7V ~ 3.6V","7.3mA ~ 14.5mA","5.8mA ~ 28.8mA","-40°C ~ 85°C","-","32-VFQFN Exposed Pad","-"
http://www.st.com/content/ccc/resource/technical/document/datasheet/e8/76/3d/fb/28/e0/40/0b/DM00141263.pdf/files/DM00141263.pdf/jcr:content/translations/en.DM00141263.pdf,//media.digikey.com/Renders/STMicro%20Renders/32-VFQFN%20(5x5).jpg,497-15639-6-ND,BLUENRG-MSQTR,STMicroelectronics,IC RF TXRX+MCU BLUETOOTH 32VFQFN,12911,0,"Digi-Reel","0","1","Digi-Reel®","BlueNRG","Active","TxRx + MCU","Bluetooth","Bluetooth v4.1","GFSK","2.4GHz","1Mbps","8dBm","-88dBm","64kB Flash, 12kB RAM","SPI","-","1.7V ~ 3.6V","7.3mA ~ 14.5mA","5.8mA ~ 28.8mA","-40°C ~ 85°C","-","32-VFQFN Exposed Pad","-"
https://www.nordicsemi.com/-/media/DocLib/Other/Product_Spec/nRF24L01PPSv10.pdf,//media.digikey.com/Renders/Nordic%20Semiconductor%20ASA/20-VFQFN%20Exposed%20Pad.jpg,1490-1033-2-ND,NRF24L01P-R7,Nordic Semiconductor ASA,IC RF TXRX ISM>1GHZ 20VFQFN,24000,0,"1.68000","0","1500","Tape & Reel (TR)","-","Active","TxRx Only","General ISM > 1GHZ","-","GFSK","2.4GHz","2Mbps","0dBm","-94dBm","-","SPI","-","1.9V ~ 3.6V","12.6mA ~ 13.5mA","7mA ~ 11.3mA","-40°C ~ 85°C","Surface Mount","20-VFQFN Exposed Pad","20-QFN (4x4)"
https://www.nordicsemi.com/-/media/DocLib/Other/Product_Spec/nRF24L01PPSv10.pdf,//media.digikey.com/Renders/Nordic%20Semiconductor%20ASA/20-VFQFN%20Exposed%20Pad.jpg,1490-1033-1-ND,NRF24L01P-R7,Nordic Semiconductor ASA,IC RF TXRX ISM>1GHZ 20VFQFN,25382,0,"3.53000","0","1","Cut Tape (CT)","-","Active","TxRx Only","General ISM > 1GHZ","-","GFSK","2.4GHz","2Mbps","0dBm","-94dBm","-","SPI","-","1.9V ~ 3.6V","12.6mA ~ 13.5mA","7mA ~ 11.3mA","-40°C ~ 85°C","Surface Mount","20-VFQFN Exposed Pad","20-QFN (4x4)"
https://www.nordicsemi.com/-/media/DocLib/Other/Product_Spec/nRF24L01PPSv10.pdf,//media.digikey.com/Renders/Nordic%20Semiconductor%20ASA/20-VFQFN%20Exposed%20Pad.jpg,1490-1033-6-ND,NRF24L01P-R7,Nordic Semiconductor ASA,IC RF TXRX ISM>1GHZ 20VFQFN,25382,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","TxRx Only","General ISM > 1GHZ","-","GFSK","2.4GHz","2Mbps","0dBm","-94dBm","-","SPI","-","1.9V ~ 3.6V","12.6mA ~ 13.5mA","7mA ~ 11.3mA","-40°C ~ 85°C","Surface Mount","20-VFQFN Exposed Pad","20-QFN (4x4)"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fcc110l,//media.digikey.com/Renders/Texas%20Instr%20Renders/RGP-20-PQFP%20Pkg.jpg,296-35719-2-ND,CC110LRGPR,Texas Instruments,IC RF TXRX ISM<1GHZ 20VFQFN,3000,0,"1.69974","0","3000","Tape & Reel (TR)","-","Active","TxRx Only","General ISM < 1GHz","-","2FSK, 4FSK, GFSK, MSK, OOK","300MHz ~ 348MHz, 387MHz ~ 464MHz, 779MHz ~ 928MHz","600kbps","12dBm","-116dBm","-","SPI","-","1.8V ~ 3.6V","14.3mA ~ 17.1mA","12.3mA ~ 34.2mA","-40°C ~ 85°C","Surface Mount","20-VFQFN Exposed Pad","20-QFN (4x4)"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fcc110l,//media.digikey.com/Renders/Texas%20Instr%20Renders/RGP-20-PQFP%20Pkg.jpg,296-35719-1-ND,CC110LRGPR,Texas Instruments,IC RF TXRX ISM<1GHZ 20VFQFN,8279,0,"3.76000","0","1","Cut Tape (CT)","-","Active","TxRx Only","General ISM < 1GHz","-","2FSK, 4FSK, GFSK, MSK, OOK","300MHz ~ 348MHz, 387MHz ~ 464MHz, 779MHz ~ 928MHz","600kbps","12dBm","-116dBm","-","SPI","-","1.8V ~ 3.6V","14.3mA ~ 17.1mA","12.3mA ~ 34.2mA","-40°C ~ 85°C","Surface Mount","20-VFQFN Exposed Pad","20-QFN (4x4)"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fcc110l,//media.digikey.com/Renders/Texas%20Instr%20Renders/RGP-20-PQFP%20Pkg.jpg,296-35719-6-ND,CC110LRGPR,Texas Instruments,IC RF TXRX ISM<1GHZ 20VFQFN,8279,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","TxRx Only","General ISM < 1GHz","-","2FSK, 4FSK, GFSK, MSK, OOK","300MHz ~ 348MHz, 387MHz ~ 464MHz, 779MHz ~ 928MHz","600kbps","12dBm","-116dBm","-","SPI","-","1.8V ~ 3.6V","14.3mA ~ 17.1mA","12.3mA ~ 34.2mA","-40°C ~ 85°C","Surface Mount","20-VFQFN Exposed Pad","20-QFN (4x4)"
https://www.semtech.com/uploads/documents/sx1231.pdf,//media.digikey.com/Renders/Semtech%20Renders/24-QFN.jpg,SX1231IMLTR-ND,SX1231IMLTRT,Semtech Corporation,IC RF TXRX ISM<1GHZ 24VQFN,6000,0,"1.72900","0","3000","Tape & Reel (TR)","-","Active","TxRx Only","General ISM < 1GHz","-","FSK, GFSK, GMSK, MSK, OOK","290MHz ~ 340MHz, 424MHz ~ 510MHz, 862MHz ~ 1.02GHz","300kbps","17dBm","-120dBm","-","SPI","6","1.8V ~ 3.6V","16mA","16mA ~ 95mA","-40°C ~ 85°C","Surface Mount","24-VQFN Exposed Pad","24-QFN (5x5)"
https://www.semtech.com/uploads/documents/sx1231.pdf,//media.digikey.com/Renders/Semtech%20Renders/24-QFN.jpg,SX1231IMLCT-ND,SX1231IMLTRT,Semtech Corporation,IC RF TXRX ISM<1GHZ 24VQFN,8639,0,"3.82000","0","1","Cut Tape (CT)","-","Active","TxRx Only","General ISM < 1GHz","-","FSK, GFSK, GMSK, MSK, OOK","290MHz ~ 340MHz, 424MHz ~ 510MHz, 862MHz ~ 1.02GHz","300kbps","17dBm","-120dBm","-","SPI","6","1.8V ~ 3.6V","16mA","16mA ~ 95mA","-40°C ~ 85°C","Surface Mount","24-VQFN Exposed Pad","24-QFN (5x5)"
https://www.semtech.com/uploads/documents/sx1231.pdf,//media.digikey.com/Renders/Semtech%20Renders/24-QFN.jpg,SX1231IMLDKR-ND,SX1231IMLTRT,Semtech Corporation,IC RF TXRX ISM<1GHZ 24VQFN,8639,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","TxRx Only","General ISM < 1GHz","-","FSK, GFSK, GMSK, MSK, OOK","290MHz ~ 340MHz, 424MHz ~ 510MHz, 862MHz ~ 1.02GHz","300kbps","17dBm","-120dBm","-","SPI","6","1.8V ~ 3.6V","16mA","16mA ~ 95mA","-40°C ~ 85°C","Surface Mount","24-VQFN Exposed Pad","24-QFN (5x5)"
https://www.dialog-semiconductor.com/sites/default/files/da14583_fs_3v0.pdf,//media.digikey.com/Renders/Dialog%20Semi%20Renders/1695;40QFN-.90-5x5;;40.jpg,1564-1017-2-ND,DA14583-01F01AT2,Dialog Semiconductor GmbH,IC RF TXRX+MCU BLUETOOTH 40VFQFN,5000,0,"1.80770","0","5000","Tape & Reel (TR)","-","Active","TxRx + MCU","Bluetooth","Bluetooth v4.1","-","2.4GHz","-","-1dBm","-93dBm","1Mb Flash, 32kB OTP, 84kB ROM, 50kB SRAM","I²C, SPI, UART","24","2.35V ~ 3.3V","3.7mA","3.4mA","-40°C ~ 85°C","Surface Mount","40-VFQFN Exposed Pad","40-QFN (5x5)"
https://www.dialog-semiconductor.com/sites/default/files/da14583_fs_3v0.pdf,//media.digikey.com/Renders/Dialog%20Semi%20Renders/1695;40QFN-.90-5x5;;40.jpg,1564-1017-1-ND,DA14583-01F01AT2,Dialog Semiconductor GmbH,IC RF TXRX+MCU BLUETOOTH 40VFQFN,8580,0,"4.16000","0","1","Cut Tape (CT)","-","Active","TxRx + MCU","Bluetooth","Bluetooth v4.1","-","2.4GHz","-","-1dBm","-93dBm","1Mb Flash, 32kB OTP, 84kB ROM, 50kB SRAM","I²C, SPI, UART","24","2.35V ~ 3.3V","3.7mA","3.4mA","-40°C ~ 85°C","Surface Mount","40-VFQFN Exposed Pad","40-QFN (5x5)"
https://www.dialog-semiconductor.com/sites/default/files/da14583_fs_3v0.pdf,//media.digikey.com/Renders/Dialog%20Semi%20Renders/1695;40QFN-.90-5x5;;40.jpg,1564-1017-6-ND,DA14583-01F01AT2,Dialog Semiconductor GmbH,IC RF TXRX+MCU BLUETOOTH 40VFQFN,8580,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","TxRx + MCU","Bluetooth","Bluetooth v4.1","-","2.4GHz","-","-1dBm","-93dBm","1Mb Flash, 32kB OTP, 84kB ROM, 50kB SRAM","I²C, SPI, UART","24","2.35V ~ 3.3V","3.7mA","3.4mA","-40°C ~ 85°C","Surface Mount","40-VFQFN Exposed Pad","40-QFN (5x5)"
https://www.semtech.com/uploads/documents/sx1211.pdf,//media.digikey.com/photos/Semtech%20Photos/SX1211I084TRT.JPG,SX1211I084TR-ND,SX1211I084TRT,Semtech Corporation,IC RF TXRX ISM<1GHZ 32WFQFN,6000,0,"1.87530","0","3000","Tape & Reel (TR)","-","Active","TxRx Only","General ISM < 1GHz","-","FSK, OOK","863MHz ~ 870MHz, 902MHz ~ 928MHz, 950MHz ~ 960MHz","200kbps","12.5dBm","-113dBm","-","SPI","-","2.1V ~ 3.6V","3mA","16mA ~ 25mA","-40°C ~ 85°C","Surface Mount","32-WFQFN Exposed Pad","32-TQFN (5x5)"
https://www.semtech.com/uploads/documents/sx1211.pdf,//media.digikey.com/photos/Semtech%20Photos/SX1211I084TRT.JPG,SX1211I084CT-ND,SX1211I084TRT,Semtech Corporation,IC RF TXRX ISM<1GHZ 32WFQFN,6705,0,"4.15000","0","1","Cut Tape (CT)","-","Active","TxRx Only","General ISM < 1GHz","-","FSK, OOK","863MHz ~ 870MHz, 902MHz ~ 928MHz, 950MHz ~ 960MHz","200kbps","12.5dBm","-113dBm","-","SPI","-","2.1V ~ 3.6V","3mA","16mA ~ 25mA","-40°C ~ 85°C","Surface Mount","32-WFQFN Exposed Pad","32-TQFN (5x5)"
https://www.semtech.com/uploads/documents/sx1211.pdf,//media.digikey.com/photos/Semtech%20Photos/SX1211I084TRT.JPG,SX1211I084DKR-ND,SX1211I084TRT,Semtech Corporation,IC RF TXRX ISM<1GHZ 32WFQFN,6705,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","TxRx Only","General ISM < 1GHz","-","FSK, OOK","863MHz ~ 870MHz, 902MHz ~ 928MHz, 950MHz ~ 960MHz","200kbps","12.5dBm","-113dBm","-","SPI","-","2.1V ~ 3.6V","3mA","16mA ~ 25mA","-40°C ~ 85°C","Surface Mount","32-WFQFN Exposed Pad","32-TQFN (5x5)"
http://infocenter.nordicsemi.com/pdf/nRF51822_PB_v2.5.pdf,//media.digikey.com/Renders/Nordic%20Semiconductor%20ASA/1490;48QFN.90-6x6;;48.jpg,1490-1032-2-ND,NRF51822-QFAB-R7,Nordic Semiconductor ASA,IC RF TXRX+MCU BLUETOOTH 48VFQFN,9000,0,"1.91800","0","1000","Tape & Reel (TR)","-","Active","TxRx + MCU","Bluetooth, General ISM > 1GHz","Bluetooth v4.0","GFSK","2.4GHz","2Mbps","4dBm","-96dBm","128kB Flash, 16kB RAM","I²C, SPI, UART","32","1.8V ~ 3.6V","9.7mA ~ 13.4mA","4.7mA ~ 16mA","-25°C ~ 75°C","Surface Mount","48-VFQFN Exposed Pad","48-QFN (6x6)"
http://infocenter.nordicsemi.com/pdf/nRF51822_PB_v2.5.pdf,//media.digikey.com/Renders/Nordic%20Semiconductor%20ASA/1490;48QFN.90-6x6;;48.jpg,1490-1032-1-ND,NRF51822-QFAB-R7,Nordic Semiconductor ASA,IC RF TXRX+MCU BLUETOOTH 48VFQFN,9658,0,"4.03000","0","1","Cut Tape (CT)","-","Active","TxRx + MCU","Bluetooth, General ISM > 1GHz","Bluetooth v4.0","GFSK","2.4GHz","2Mbps","4dBm","-96dBm","128kB Flash, 16kB RAM","I²C, SPI, UART","32","1.8V ~ 3.6V","9.7mA ~ 13.4mA","4.7mA ~ 16mA","-25°C ~ 75°C","Surface Mount","48-VFQFN Exposed Pad","48-QFN (6x6)"
