Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type","Frequency","Standards","Interface","Voltage - Supply","Operating Temperature","Package / Case","Supplier Device Package"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftrf7962a,//media.digikey.com/renders/Texas%20Instr%20Renders/32-QFN-Pkg.jpg,296-46402-1-ND,TRF7962ARHBR,Texas Instruments,IC RFID READER 13.56MHZ 32VQFN,24054,0,"4.14000","0","1","Cut Tape (CT)","-","Active","RFID Reader","13.56MHz","ISO 15693, ISO 18000-3","SPI","2.7V ~ 5.5V","-25°C ~ 85°C","32-VFQFN Exposed Pad","32-VQFN (5x5)"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftrf7962a,//media.digikey.com/renders/Texas%20Instr%20Renders/32-QFN-Pkg.jpg,296-46402-6-ND,TRF7962ARHBR,Texas Instruments,IC RFID READER 13.56MHZ 32VQFN,24054,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","RFID Reader","13.56MHz","ISO 15693, ISO 18000-3","SPI","2.7V ~ 5.5V","-25°C ~ 85°C","32-VFQFN Exposed Pad","32-VQFN (5x5)"
https://ams.com/documents/20143/36005/AS3930_DS000309_1-00.pdf,//media.digikey.com/Photos/Austria%20Microsystems/AS3930-BQFT.jpg,AS3930-BQFTTR-ND,AS3930-BQFT,ams,IC RFID READER 110-150KHZ 16QFN,9000,0,"1.94600","0","1000","Tape & Reel (TR)","-","Active","RFID Reader","110kHz ~ 150kHz","-","SPI","2.4V ~ 3.6V","-40°C ~ 85°C","16-VQFN Exposed Pad","16-QFN (4x4)"
https://ams.com/documents/20143/36005/AS3930_DS000309_1-00.pdf,//media.digikey.com/Photos/Austria%20Microsystems/AS3930-BQFT.jpg,AS3930-BQFTCT-ND,AS3930-BQFT,ams,IC RFID READER 110-150KHZ 16QFN,9457,0,"4.09000","0","1","Cut Tape (CT)","-","Active","RFID Reader","110kHz ~ 150kHz","-","SPI","2.4V ~ 3.6V","-40°C ~ 85°C","16-VQFN Exposed Pad","16-QFN (4x4)"
https://ams.com/documents/20143/36005/AS3930_DS000309_1-00.pdf,//media.digikey.com/Photos/Austria%20Microsystems/AS3930-BQFT.jpg,AS3930-BQFTDKR-ND,AS3930-BQFT,ams,IC RFID READER 110-150KHZ 16QFN,9457,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","RFID Reader","110kHz ~ 150kHz","-","SPI","2.4V ~ 3.6V","-40°C ~ 85°C","16-VQFN Exposed Pad","16-QFN (4x4)"
https://www.melexis.com/-/media/files/documents/datasheets/mlx90109-datasheet-melexis.pdf,//media.digikey.com/Renders/Melexis%20Renders/8-SOIC.jpg,MLX90109EDC-AAA-000-RETR-ND,MLX90109EDC-AAA-000-RE,Melexis Technologies NV,IC RFID READER/TRAN 125KHZ 8SOIC,15000,0,"2.27403","0","3000","Tape & Reel (TR)","MLX90109","Active","RFID Reader/Transponder","125kHz","-","-","3.1V ~ 5.5V","-40°C ~ 85°C","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
https://www.melexis.com/-/media/files/documents/datasheets/mlx90109-datasheet-melexis.pdf,//media.digikey.com/Renders/Melexis%20Renders/8-SOIC.jpg,MLX90109EDC-AAA-000-RECT-ND,MLX90109EDC-AAA-000-RE,Melexis Technologies NV,IC RFID READER/TRAN 125KHZ 8SOIC,15362,0,"4.88000","0","1","Cut Tape (CT)","MLX90109","Active","RFID Reader/Transponder","125kHz","-","-","3.1V ~ 5.5V","-40°C ~ 85°C","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
https://www.melexis.com/-/media/files/documents/datasheets/mlx90109-datasheet-melexis.pdf,//media.digikey.com/Renders/Melexis%20Renders/8-SOIC.jpg,MLX90109EDC-AAA-000-REDKR-ND,MLX90109EDC-AAA-000-RE,Melexis Technologies NV,IC RFID READER/TRAN 125KHZ 8SOIC,15362,0,"Digi-Reel","0","1","Digi-Reel®","MLX90109","Active","RFID Reader/Transponder","125kHz","-","-","3.1V ~ 5.5V","-40°C ~ 85°C","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
//media.digikey.com/pdf/Data%20Sheets/Austriamicrosystems%20PDFs/AS3933_DataBrief.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/RU-16.jpg,AS3933-BTSTTR-ND,AS3933-BTST,ams,IC RFID READER 15-150KHZ 16TSSOP,1000,0,"2.38000","0","1000","Tape & Reel (TR)","-","Active","RFID Reader","15kHz ~ 150kHz","-","-","2.4V ~ 3.6V","-40°C ~ 85°C","16-TSSOP (0.173"", 4.40mm Width)","16-TSSOP"
//media.digikey.com/pdf/Data%20Sheets/Austriamicrosystems%20PDFs/AS3933_DataBrief.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/RU-16.jpg,AS3933-BTSTCT-ND,AS3933-BTST,ams,IC RFID READER 15-150KHZ 16TSSOP,2422,0,"5.00000","0","1","Cut Tape (CT)","-","Active","RFID Reader","15kHz ~ 150kHz","-","-","2.4V ~ 3.6V","-40°C ~ 85°C","16-TSSOP (0.173"", 4.40mm Width)","16-TSSOP"
//media.digikey.com/pdf/Data%20Sheets/Austriamicrosystems%20PDFs/AS3933_DataBrief.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/RU-16.jpg,AS3933-BTSTDKR-ND,AS3933-BTST,ams,IC RFID READER 15-150KHZ 16TSSOP,2422,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","RFID Reader","15kHz ~ 150kHz","-","-","2.4V ~ 3.6V","-40°C ~ 85°C","16-TSSOP (0.173"", 4.40mm Width)","16-TSSOP"
//media.digikey.com/pdf/Data%20Sheets/Austriamicrosystems%20PDFs/AS3933_DataBrief.pdf,//media.digikey.com/Photos/AMS-Taos%20USA%20Photos/16-QFN-(4X4).jpg,AS3933-BQFTTR-ND,AS3933-BQFT,ams,IC RFID READER 15-150KHZ 16QFN,70000,0,"2.52000","0","1000","Tape & Reel (TR)","-","Active","RFID Reader","15kHz ~ 150kHz","-","-","2.4V ~ 3.6V","-40°C ~ 85°C","16-VQFN Exposed Pad","16-QFN (4x4)"
//media.digikey.com/pdf/Data%20Sheets/Austriamicrosystems%20PDFs/AS3933_DataBrief.pdf,//media.digikey.com/Photos/AMS-Taos%20USA%20Photos/16-QFN-(4X4).jpg,AS3933-BQFTCT-ND,AS3933-BQFT,ams,IC RFID READER 15-150KHZ 16QFN,70252,0,"5.29000","0","1","Cut Tape (CT)","-","Active","RFID Reader","15kHz ~ 150kHz","-","-","2.4V ~ 3.6V","-40°C ~ 85°C","16-VQFN Exposed Pad","16-QFN (4x4)"
//media.digikey.com/pdf/Data%20Sheets/Austriamicrosystems%20PDFs/AS3933_DataBrief.pdf,//media.digikey.com/Photos/AMS-Taos%20USA%20Photos/16-QFN-(4X4).jpg,AS3933-BQFTDKR-ND,AS3933-BQFT,ams,IC RFID READER 15-150KHZ 16QFN,70252,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","RFID Reader","15kHz ~ 150kHz","-","-","2.4V ~ 3.6V","-40°C ~ 85°C","16-VQFN Exposed Pad","16-QFN (4x4)"
//media.digikey.com/pdf/Data%20Sheets/Texas%20Instruments%20PDFs/TRF7970A.pdf,//media.digikey.com/renders/Texas%20Instr%20Renders/32-QFN-Pkg.jpg,296-29355-2-ND,TRF7970ARHBR,Texas Instruments,IC RFID RDR/TRANS 13.56MZ 32VQFN,60000,0,"2.57488","0","3000","Tape & Reel (TR)","-","Active","RFID Reader/Transponder","13.56MHz","ISO 14443, ISO 15693, ISO 18000-3","SPI","2.7V ~ 5.5V","-40°C ~ 110°C","32-VFQFN Exposed Pad","32-VQFN (5x5)"
//media.digikey.com/pdf/Data%20Sheets/Texas%20Instruments%20PDFs/TRF7970A.pdf,//media.digikey.com/renders/Texas%20Instr%20Renders/32-QFN-Pkg.jpg,296-29355-1-ND,TRF7970ARHBR,Texas Instruments,IC RFID RDR/TRANS 13.56MZ 32VQFN,62326,0,"5.69000","0","1","Cut Tape (CT)","-","Active","RFID Reader/Transponder","13.56MHz","ISO 14443, ISO 15693, ISO 18000-3","SPI","2.7V ~ 5.5V","-40°C ~ 110°C","32-VFQFN Exposed Pad","32-VQFN (5x5)"
//media.digikey.com/pdf/Data%20Sheets/Texas%20Instruments%20PDFs/TRF7970A.pdf,//media.digikey.com/renders/Texas%20Instr%20Renders/32-QFN-Pkg.jpg,296-29355-6-ND,TRF7970ARHBR,Texas Instruments,IC RFID RDR/TRANS 13.56MZ 32VQFN,62326,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","RFID Reader/Transponder","13.56MHz","ISO 14443, ISO 15693, ISO 18000-3","SPI","2.7V ~ 5.5V","-40°C ~ 110°C","32-VFQFN Exposed Pad","32-VQFN (5x5)"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftrf7963a,//media.digikey.com/renders/Texas%20Instr%20Renders/32-QFN-Pkg.jpg,296-30065-2-ND,TRF7963ARHBT,Texas Instruments,IC RFID READER 13.56MHZ 32VQFN,6250,0,"2.68620","0","250","Tape & Reel (TR)","-","Active","RFID Reader","13.56MHz","ISO 14443","SPI","2.7V ~ 5.5V","-25°C ~ 85°C","32-VFQFN Exposed Pad","32-VQFN (5x5)"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftrf7963a,//media.digikey.com/renders/Texas%20Instr%20Renders/32-QFN-Pkg.jpg,296-30065-1-ND,TRF7963ARHBT,Texas Instruments,IC RFID READER 13.56MHZ 32VQFN,6451,0,"4.27000","0","1","Cut Tape (CT)","-","Active","RFID Reader","13.56MHz","ISO 14443","SPI","2.7V ~ 5.5V","-25°C ~ 85°C","32-VFQFN Exposed Pad","32-VQFN (5x5)"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftrf7963a,//media.digikey.com/renders/Texas%20Instr%20Renders/32-QFN-Pkg.jpg,296-30065-6-ND,TRF7963ARHBT,Texas Instruments,IC RFID READER 13.56MHZ 32VQFN,6451,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","RFID Reader","13.56MHz","ISO 14443","SPI","2.7V ~ 5.5V","-25°C ~ 85°C","32-VFQFN Exposed Pad","32-VQFN (5x5)"
http://www.st.com/content/ccc/resource/technical/document/datasheet/group3/ba/60/79/5c/bb/a9/41/76/DM00321525/files/DM00321525.pdf/jcr:content/translations/en.DM00321525.pdf,//media.digikey.com/Renders/AMS%20Renders/961;32QFN-1.0-5x5-Molded;QF;32.jpg,497-17138-2-ND,ST25R3911B-AQFT,STMicroelectronics,IC RFID READER 13.56MHZ 32QFN,28000,0,"2.79300","0","4000","Tape & Reel (TR)","-","Active","RFID Reader","13.56MHz","ISO 14443, NFC","SPI","2.4V ~ 5.5V","-40°C ~ 125°C","32-VFQFN Exposed Pad","32-QFN (5x5)"
http://www.st.com/content/ccc/resource/technical/document/datasheet/group3/ba/60/79/5c/bb/a9/41/76/DM00321525/files/DM00321525.pdf/jcr:content/translations/en.DM00321525.pdf,//media.digikey.com/Renders/AMS%20Renders/961;32QFN-1.0-5x5-Molded;QF;32.jpg,497-17138-1-ND,ST25R3911B-AQFT,STMicroelectronics,IC RFID READER 13.56MHZ 32QFN,29421,0,"6.17000","0","1","Cut Tape (CT)","-","Active","RFID Reader","13.56MHz","ISO 14443, NFC","SPI","2.4V ~ 5.5V","-40°C ~ 125°C","32-VFQFN Exposed Pad","32-QFN (5x5)"
http://www.st.com/content/ccc/resource/technical/document/datasheet/group3/ba/60/79/5c/bb/a9/41/76/DM00321525/files/DM00321525.pdf/jcr:content/translations/en.DM00321525.pdf,//media.digikey.com/Renders/AMS%20Renders/961;32QFN-1.0-5x5-Molded;QF;32.jpg,497-17138-6-ND,ST25R3911B-AQFT,STMicroelectronics,IC RFID READER 13.56MHZ 32QFN,29421,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","RFID Reader","13.56MHz","ISO 14443, NFC","SPI","2.4V ~ 5.5V","-40°C ~ 125°C","32-VFQFN Exposed Pad","32-QFN (5x5)"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftrf7960a,//media.digikey.com/renders/Texas%20Instr%20Renders/32-QFN-Pkg.jpg,296-29381-2-ND,TRF7960ARHBT,Texas Instruments,IC RFID READER 13.56MHZ 32VQFN,5750,0,"3.18572","0","250","Tape & Reel (TR)","-","Active","RFID Reader","13.56MHz","ISO 14443, ISO 15693, ISO 18000-3","SPI","2.7V ~ 5.5V","-40°C ~ 110°C","32-VFQFN Exposed Pad","32-VQFN (5x5)"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftrf7960a,//media.digikey.com/renders/Texas%20Instr%20Renders/32-QFN-Pkg.jpg,296-29381-1-ND,TRF7960ARHBT,Texas Instruments,IC RFID READER 13.56MHZ 32VQFN,6559,0,"5.06000","0","1","Cut Tape (CT)","-","Active","RFID Reader","13.56MHz","ISO 14443, ISO 15693, ISO 18000-3","SPI","2.7V ~ 5.5V","-40°C ~ 110°C","32-VFQFN Exposed Pad","32-VQFN (5x5)"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftrf7960a,//media.digikey.com/renders/Texas%20Instr%20Renders/32-QFN-Pkg.jpg,296-29381-6-ND,TRF7960ARHBT,Texas Instruments,IC RFID READER 13.56MHZ 32VQFN,6559,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","RFID Reader","13.56MHz","ISO 14443, ISO 15693, ISO 18000-3","SPI","2.7V ~ 5.5V","-40°C ~ 110°C","32-VFQFN Exposed Pad","32-VQFN (5x5)"
"//media.digikey.com/pdf/Data%20Sheets/Texas%20Instruments%20PDFs/TRF7960,61_Rev2017.pdf",//media.digikey.com/renders/Texas%20Instr%20Renders/32-QFN-Pkg.jpg,481-1107-2-ND,TRF7960RHBR,Texas Instruments,IC RFID READER 13.56MHZ 32VQFN,3000,0,"3.27712","0","3000","Tape & Reel (TR)","-","Active","RFID Reader","13.56MHz","ISO 14443, ISO 15693, ISO 18000-3","SPI","2.7V ~ 5.5V","-40°C ~ 110°C","32-VFQFN Exposed Pad","32-VQFN (5x5)"
"//media.digikey.com/pdf/Data%20Sheets/Texas%20Instruments%20PDFs/TRF7960,61_Rev2017.pdf",//media.digikey.com/renders/Texas%20Instr%20Renders/32-QFN-Pkg.jpg,481-1107-1-ND,TRF7960RHBR,Texas Instruments,IC RFID READER 13.56MHZ 32VQFN,3664,0,"6.21000","0","1","Cut Tape (CT)","-","Active","RFID Reader","13.56MHz","ISO 14443, ISO 15693, ISO 18000-3","SPI","2.7V ~ 5.5V","-40°C ~ 110°C","32-VFQFN Exposed Pad","32-VQFN (5x5)"
"//media.digikey.com/pdf/Data%20Sheets/Texas%20Instruments%20PDFs/TRF7960,61_Rev2017.pdf",//media.digikey.com/renders/Texas%20Instr%20Renders/32-QFN-Pkg.jpg,481-1107-6-ND,TRF7960RHBR,Texas Instruments,IC RFID READER 13.56MHZ 32VQFN,3664,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","RFID Reader","13.56MHz","ISO 14443, ISO 15693, ISO 18000-3","SPI","2.7V ~ 5.5V","-40°C ~ 110°C","32-VFQFN Exposed Pad","32-VQFN (5x5)"
//media.digikey.com/pdf/Data%20Sheets/Texas%20Instruments%20PDFs/TRF7970A.pdf,//media.digikey.com/renders/Texas%20Instr%20Renders/32-QFN-Pkg.jpg,296-29476-2-ND,TRF7970ARHBT,Texas Instruments,IC RFID RDR/TRANS 13.56MZ 32VQFN,6500,0,"3.68892","0","250","Tape & Reel (TR)","-","Active","RFID Reader/Transponder","13.56MHz","ISO 14443, ISO 15693, ISO 18000-3","SPI","2.7V ~ 5.5V","-40°C ~ 110°C","32-VFQFN Exposed Pad","32-VQFN (5x5)"
//media.digikey.com/pdf/Data%20Sheets/Texas%20Instruments%20PDFs/TRF7970A.pdf,//media.digikey.com/renders/Texas%20Instr%20Renders/32-QFN-Pkg.jpg,296-29476-1-ND,TRF7970ARHBT,Texas Instruments,IC RFID RDR/TRANS 13.56MZ 32VQFN,6883,0,"5.86000","0","1","Cut Tape (CT)","-","Active","RFID Reader/Transponder","13.56MHz","ISO 14443, ISO 15693, ISO 18000-3","SPI","2.7V ~ 5.5V","-40°C ~ 110°C","32-VFQFN Exposed Pad","32-VQFN (5x5)"
//media.digikey.com/pdf/Data%20Sheets/Texas%20Instruments%20PDFs/TRF7970A.pdf,//media.digikey.com/renders/Texas%20Instr%20Renders/32-QFN-Pkg.jpg,296-29476-6-ND,TRF7970ARHBT,Texas Instruments,IC RFID RDR/TRANS 13.56MZ 32VQFN,6883,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","RFID Reader/Transponder","13.56MHz","ISO 14443, ISO 15693, ISO 18000-3","SPI","2.7V ~ 5.5V","-40°C ~ 110°C","32-VFQFN Exposed Pad","32-VQFN (5x5)"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftms3705,//media.digikey.com/Renders/Texas%20Instr%20Renders/296;4040047-6;D;16.jpg,296-46965-2-ND,TMS3705DDRQ1,Texas Instruments,IC RFID READER 134.2KHZ 16SOIC,5000,0,"4.04950","0","2500","Tape & Reel (TR)","-","Active","RFID Reader","134.2kHz","-","-","4.5V ~ 5.5V","-40°C ~ 85°C (TA)","16-SOIC (0.154"", 3.90mm Width)","16-SOIC"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftms3705,//media.digikey.com/Renders/Texas%20Instr%20Renders/296;4040047-6;D;16.jpg,296-46965-1-ND,TMS3705DDRQ1,Texas Instruments,IC RFID READER 134.2KHZ 16SOIC,8043,0,"7.85000","0","1","Cut Tape (CT)","-","Active","RFID Reader","134.2kHz","-","-","4.5V ~ 5.5V","-40°C ~ 85°C (TA)","16-SOIC (0.154"", 3.90mm Width)","16-SOIC"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftms3705,//media.digikey.com/Renders/Texas%20Instr%20Renders/296;4040047-6;D;16.jpg,296-46965-6-ND,TMS3705DDRQ1,Texas Instruments,IC RFID READER 134.2KHZ 16SOIC,8043,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","RFID Reader","134.2kHz","-","-","4.5V ~ 5.5V","-40°C ~ 85°C (TA)","16-SOIC (0.154"", 3.90mm Width)","16-SOIC"
"//media.digikey.com/pdf/Data%20Sheets/Texas%20Instruments%20PDFs/TRF7960,61_Rev2017.pdf",//media.digikey.com/renders/Texas%20Instr%20Renders/32-QFN-Pkg.jpg,481-1111-2-ND,TRF7960RHBT,Texas Instruments,IC RFID READER 13.56MHZ 32VQFN,4000,0,"4.18772","0","250","Tape & Reel (TR)","-","Active","RFID Reader","13.56MHz","ISO 14443, ISO 15693, ISO 18000-3","SPI","2.7V ~ 5.5V","-40°C ~ 110°C","32-VFQFN Exposed Pad","32-VQFN (5x5)"
"//media.digikey.com/pdf/Data%20Sheets/Texas%20Instruments%20PDFs/TRF7960,61_Rev2017.pdf",//media.digikey.com/renders/Texas%20Instr%20Renders/32-QFN-Pkg.jpg,481-1111-1-ND,TRF7960RHBT,Texas Instruments,IC RFID READER 13.56MHZ 32VQFN,4190,0,"6.40000","0","1","Cut Tape (CT)","-","Active","RFID Reader","13.56MHz","ISO 14443, ISO 15693, ISO 18000-3","SPI","2.7V ~ 5.5V","-40°C ~ 110°C","32-VFQFN Exposed Pad","32-VQFN (5x5)"
"//media.digikey.com/pdf/Data%20Sheets/Texas%20Instruments%20PDFs/TRF7960,61_Rev2017.pdf",//media.digikey.com/renders/Texas%20Instr%20Renders/32-QFN-Pkg.jpg,481-1111-6-ND,TRF7960RHBT,Texas Instruments,IC RFID READER 13.56MHZ 32VQFN,4190,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","RFID Reader","13.56MHz","ISO 14443, ISO 15693, ISO 18000-3","SPI","2.7V ~ 5.5V","-40°C ~ 110°C","32-VFQFN Exposed Pad","32-VQFN (5x5)"
http://www.ti.com/lit/pdf/scbs856,//media.digikey.com/Renders/Texas%20Instr%20Renders/20-SSOP.jpg,481-1046-2-ND,RI-R6C-001A-03,Texas Instruments,IC RFID READER 13.56MHZ 20SSOP,2000,10000,"8.90843","0","2000","Tape & Reel (TR)","6700","Active","RFID Reader","13.56MHz","ISO 14443, ISO 15693","-","3.3V ~ 5V","-40°C ~ 85°C","20-TSSOP (0.173"", 4.40mm Width)","20-SSOP"
