Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Resistance (Ohms)","Tolerance","Power (Watts)","Built in Switch","Number of Turns","Taper","Number of Gangs","Adjustment Type","Temperature Coefficient","Rotation","Resistive Material","Termination Style","Actuator Type","Actuator Length","Actuator Diameter","Bushing Thread","Mounting Type"
https://www.bourns.com/docs/Product-Datasheets/91_95.pdf,//media.digikey.com/photos/Bourns%20Photos/95A1A-B28-A13L.jpg,95A1A-B24-A15L-ND,95A1A-B24-A15L,Bourns Inc.,POT 10K OHM 2W CERMET LINEAR,2286,0,"6.81000","0","1","Bulk","95","Active","10k","±10%","2W","None","1","Linear","1","User Defined","±150ppm/°C","300°","Cermet","Solder Lug","Slotted","0.750"" (19.05mm)","0.250"" (6.35mm)","3/8-32","Panel Mount"
//media.digikey.com/pdf/Data%20Sheets/Precision%20Electronic%20Components%20Ltd%20PDFs/MIL%20Style%20RV4.pdf,//media.digikey.com/Photos/Precision%20Elec%20Comp%20Photos/RV4NAYSD153A.jpg,RV4N103C-ND,RV4NAYSD103A,Precision Electronics Corporation,POT 10K OHM 2W CARBON LINEAR,3298,0,"10.72000","0","1","Bulk","RV4","Active","10k","±10%","2W","None","1","Linear","1","User Defined","-","314°","Carbon","Solder Lug","Slotted","0.875"" (22.23mm)","0.249"" (6.32mm)","3/8-32","Panel Mount"
//media.digikey.com/pdf/Data%20Sheets/Precision%20Electronic%20Components%20Ltd%20PDFs/MIL%20Style%20RV4.pdf,//media.digikey.com/Photos/Precision%20Elec%20Comp%20Photos/RV4NAYSD153A.jpg,RV4N503C-ND,RV4NAYSD503A,Precision Electronics Corporation,POT 50K OHM 2W CARBON LINEAR,2540,0,"10.72000","0","1","Bulk","RV4","Active","50k","±10%","2W","None","1","Linear","1","User Defined","-","314°","Carbon","Solder Lug","Slotted","0.875"" (22.23mm)","0.249"" (6.32mm)","3/8-32","Panel Mount"
//media.digikey.com/pdf/Data%20Sheets/Precision%20Electronic%20Components%20Ltd%20PDFs/MIL%20Style%20RV4.pdf,//media.digikey.com/Photos/Precision%20Elec%20Comp%20Photos/RV4NAYSD153A.jpg,RV4N251C-ND,RV4NAYSD251A,Precision Electronics Corporation,POT 250 OHM 2W CARBON LINEAR,1461,0,"10.72000","0","1","Bulk","RV4","Active","250","±10%","2W","None","1","Linear","1","User Defined","-","314°","Carbon","Solder Lug","Slotted","0.875"" (22.23mm)","0.249"" (6.32mm)","3/8-32","Panel Mount"
//media.digikey.com/pdf/Data%20Sheets/Precision%20Electronic%20Components%20Ltd%20PDFs/MIL%20Style%20RV4.pdf,//media.digikey.com/Photos/Precision%20Elec%20Comp%20Photos/RV4NAYSD153A.jpg,RV4N102C-ND,RV4NAYSD102A,Precision Electronics Corporation,POT 1K OHM 2W CARBON LINEAR,941,0,"10.72000","0","1","Bulk","RV4","Active","1k","±10%","2W","None","1","Linear","1","User Defined","-","314°","Carbon","Solder Lug","Slotted","0.875"" (22.23mm)","0.249"" (6.32mm)","3/8-32","Panel Mount"
//media.digikey.com/pdf/Data%20Sheets/Precision%20Electronic%20Components%20Ltd%20PDFs/MIL%20Style%20RV4.pdf,//media.digikey.com/Photos/Precision%20Elec%20Comp%20Photos/RV4NAYSD153A.jpg,RV4N501C-ND,RV4NAYSD501A,Precision Electronics Corporation,POT 500 OHM 2W CARBON LINEAR,702,0,"10.72000","0","1","Bulk","RV4","Active","500","±10%","2W","None","1","Linear","1","User Defined","-","314°","Carbon","Solder Lug","Slotted","0.875"" (22.23mm)","0.249"" (6.32mm)","3/8-32","Panel Mount"
//media.digikey.com/pdf/Data%20Sheets/Precision%20Electronic%20Components%20Ltd%20PDFs/MIL%20Style%20RV4.pdf,//media.digikey.com/Photos/Precision%20Elec%20Comp%20Photos/RV4NAYSD153A.jpg,RV4N104C-ND,RV4NAYSD104A,Precision Electronics Corporation,POT 100K OHM 2W CARBON LINEAR,472,0,"10.72000","0","1","Bulk","RV4","Active","100k","±10%","2W","None","1","Linear","1","User Defined","-","314°","Carbon","Solder Lug","Slotted","0.875"" (22.23mm)","0.249"" (6.32mm)","3/8-32","Panel Mount"
//media.digikey.com/pdf/Data%20Sheets/Precision%20Electronic%20Components%20Ltd%20PDFs/MIL%20Style%20RV4.pdf,//media.digikey.com/Photos/Precision%20Elec%20Comp%20Photos/RV4NAYSD153A.jpg,RV4N502C-ND,RV4NAYSD502A,Precision Electronics Corporation,POT 5K OHM 2W CARBON LINEAR,385,0,"10.72000","0","1","Bulk","RV4","Active","5k","±10%","2W","None","1","Linear","1","User Defined","-","314°","Carbon","Solder Lug","Slotted","0.875"" (22.23mm)","0.249"" (6.32mm)","3/8-32","Panel Mount"
//media.digikey.com/pdf/Data%20Sheets/Precision%20Electronic%20Components%20Ltd%20PDFs/MIL%20Style%20RV4.pdf,//media.digikey.com/Photos/Precision%20Elec%20Comp%20Photos/RV4NAYSD153A.jpg,RV4N253C-ND,RV4NAYSD253A,Precision Electronics Corporation,POT 25K OHM 2W CARBON LINEAR,268,0,"10.72000","0","1","Bulk","RV4","Active","25k","±10%","2W","None","1","Linear","1","User Defined","-","314°","Carbon","Solder Lug","Slotted","0.875"" (22.23mm)","0.249"" (6.32mm)","3/8-32","Panel Mount"
//media.digikey.com/pdf/Data%20Sheets/Precision%20Electronic%20Components%20Ltd%20PDFs/MIL%20Style%20RV4.pdf,//media.digikey.com/Photos/Precision%20Elec%20Comp%20Photos/RV4NAYSJ251A.jpg,RV4NJ502C-ND,RV4NAYSJ502A,Precision Electronics Corporation,POT 5K OHM 2W CARBON LINEAR,135,0,"10.72000","0","1","Bulk","RV4","Active","5k","±10%","2W","None","1","Linear","1","User Defined","-","314°","Carbon","Solder Lug","Slotted","2.000"" (50.80mm)","0.249"" (6.32mm)","3/8-32","Panel Mount"
//media.digikey.com/pdf/Data%20Sheets/Precision%20Electronic%20Components%20Ltd%20PDFs/MIL%20Style%20RV4.pdf,//media.digikey.com/Photos/Precision%20Elec%20Comp%20Photos/RV4NAYSD153A.jpg,RV4N252C-ND,RV4NAYSD252A,Precision Electronics Corporation,POT 2.5K OHM 2W CARBON LINEAR,95,0,"10.72000","0","1","Bulk","RV4","Active","2.5k","±10%","2W","None","1","Linear","1","User Defined","-","314°","Carbon","Solder Lug","Slotted","0.875"" (22.23mm)","0.249"" (6.32mm)","3/8-32","Panel Mount"
//media.digikey.com/pdf/Data%20Sheets/Precision%20Electronic%20Components%20Ltd%20PDFs/MIL%20Style%20RV4.pdf,//media.digikey.com/Photos/Precision%20Elec%20Comp%20Photos/RV4LAYSAxxxx.jpg,RV4L502C-ND,RV4LAYSA502A,Precision Electronics Corporation,POT 5K OHM 2W CARBON LINEAR,2979,0,"11.23000","0","1","Bulk","RV4","Active","5k","±10%","2W","None","1","Linear","1","User Defined","-","314°","Carbon","Solder Lug","Slotted","0.625"" (15.88mm)","0.249"" (6.32mm)","3/8-32","Panel Mount"
//media.digikey.com/pdf/Data%20Sheets/Precision%20Electronic%20Components%20Ltd%20PDFs/MIL%20Style%20RV6.pdf,//media.digikey.com/Photos/Precision%20Elec%20Comp%20Photos/RV6NAYSDxxx.jpg,RV6N103C-ND,RV6NAYSD103A,Precision Electronics Corporation,POT 10K OHM 1/2W CARBON LINEAR,767,0,"11.54000","0","1","Bulk","RV6","Active","10k","±10%","0.5W, 1/2W","None","1","Linear","1","User Defined","-","295°","Carbon","Solder Lug","Slotted","0.875"" (22.23mm)","0.125"" (3.18mm)","1/4-32","Panel Mount"
//media.digikey.com/pdf/Data%20Sheets/Precision%20Electronic%20Components%20Ltd%20PDFs/MIL%20Style%20RV6.pdf,//media.digikey.com/Photos/Precision%20Elec%20Comp%20Photos/RV6NAYSDxxx.jpg,RV6N502C-ND,RV6NAYSD502A,Precision Electronics Corporation,POT 5K OHM 1/2W CARBON LINEAR,207,0,"11.54000","0","1","Bulk","RV6","Active","5k","±10%","0.5W, 1/2W","None","1","Linear","1","User Defined","-","295°","Carbon","Solder Lug","Slotted","0.875"" (22.23mm)","0.125"" (3.18mm)","1/4-32","Panel Mount"
//media.digikey.com/pdf/Data%20Sheets/Precision%20Electronic%20Components%20Ltd%20PDFs/MIL%20Style%20RV8.pdf,//media.digikey.com/Photos/Precision%20Elec%20Comp%20Photos/SPRU5031S28.jpg,SPRU103C-ND,SPRU1031S28,Precision Electronics Corporation,POT 10K OHM 1/2W CARBON LINEAR,764,0,"11.96000","0","1","Bulk","SPR","Active","10k","±10%","0.5W, 1/2W","None","1","Linear","1","Top Adjustment","-","295°","Carbon","PC Pins","Slotted","0.875"" (22.23mm)","0.125"" (3.18mm)","1/4-32","Panel Mount"
https://www.ctscorp.com/wp-content/uploads/284.pdf,//media.digikey.com/Photos/CTS%20Photos/284TBCF504A26A1.jpg,CT3033-ND,284TBCF103A26A1,CTS Electrocomponents,POT 10K OHM 1/4W PLASTIC LINEAR,957,0,"12.50000","0","1","Tray","284","Active","10k","±10%","0.25W, 1/4W","None","1","Linear","1","User Defined","-","250°","Conductive Plastic","Solder Lug","Flatted","0.787"" (20.00mm)","0.236"" (6.00mm)","M7 x 0.75","Panel Mount"
//media.digikey.com/pdf/Data%20Sheets/Honeywell%20Sensing%20&%20Control%20PDFs/392-MATRIX-IDWG-13.pdf,//media.digikey.com/Photos/Precision%20Elec%20Comp%20Photos/RV6LAYSAxxx.jpg,RV6L103C-ND,RV6LAYSA103A,Precision Electronics Corporation,POT 10K OHM 1/2W CARBON LINEAR,498,0,"12.71000","0","1","Bulk","RV6","Active","10k","±10%","0.5W, 1/2W","None","1","Linear","1","User Defined","-","295°","Carbon","Solder Lug","Slotted","0.625"" (15.88mm)","0.125"" (3.18mm)","1/4-32","Panel Mount"
https://www.ctscorp.com/wp-content/uploads/2015/11/26.pdf,//media.digikey.com/Photos/CTS%20Photos/026TB32R101B1A1.jpg,CT2159-ND,026TB32R103B1A1,CTS Electrocomponents,POT 10K OHM 5W WIREWOUND LINEAR,1547,0,"13.33000","0","1","Bulk","026","Active","10k","±20%","5W","None","1","Linear","1","User Defined","-","300°","Wirewound","Solder Lug","Round","1.000"" (25.40mm)","0.250"" (6.35mm)","3/8-32","Panel Mount"
https://www.bourns.com/docs/Product-Datasheets/8182_8586.pdf,//media.digikey.com/photos/Bourns%20Photos/81A1A-B28-SERIES.jpg,81A1A-B28-A10L-ND,81A1A-B28-A10L,Bourns Inc.,POT 1K OHM 2W CERMET LINEAR,542,0,"13.52000","0","1","Bulk","81","Active","1k","±10%","2W","None","1","Linear","1","Side Adjustment","±150ppm/°C","300°","Cermet","PC Pins","Slotted","0.875"" (22.23mm)","0.250"" (6.35mm)","3/8-32","Panel Mount"
http://www.vishay.com/docs/51036/p16pa16.pdf,//media.digikey.com/Photos/Vishay%20Sfernice/P16%20Series.jpg,P16NP-10K-ND,P16NP103MAB15,Vishay Sfernice,POT 10K OHM 1W CERMET LINEAR,1416,0,"14.03000","0","1","Bulk","P16","Active","10k","±20%","1W","None","1","Linear","1","User Defined","±150ppm/°C","300°","Cermet","Solder Lug","Knob","0.346"" (8.80mm)","0.630"" (16.00mm)","M10 x 0.75","Panel Mount"
https://www.bourns.com/docs/Product-Datasheets/3590.pdf,//media.digikey.com/Photos/Bourns%20Photos/3590S-2-SERIES.jpg,3590S-2-103L-ND,3590S-2-103L,Bourns Inc.,POT 10K OHM 2W WIREWOUND LINEAR,781,0,"14.35000","0","1","Bulk","3590","Active","10k","±5%","2W","None","10","Linear","1","User Defined","±50ppm/°C","3600°","Wirewound","Solder Lug","Slotted","0.812"" (20.63mm)","0.2497"" (6.34mm)","3/8-32","Panel Mount"
https://www.bourns.com/docs/Product-Datasheets/3590.pdf,//media.digikey.com/Photos/Bourns%20Photos/3590S-2-SERIES.jpg,3590S-2-102L-ND,3590S-2-102L,Bourns Inc.,POT 1K OHM 2W WIREWOUND LINEAR,555,0,"14.35000","0","1","Bulk","3590","Active","1k","±5%","2W","None","10","Linear","1","User Defined","±50ppm/°C","3600°","Wirewound","Solder Lug","Slotted","0.812"" (20.63mm)","0.2497"" (6.34mm)","3/8-32","Panel Mount"
https://www.bourns.com/docs/Product-Datasheets/3590.pdf,//media.digikey.com/Photos/Bourns%20Photos/3590S-2-SERIES.jpg,3590S-2-502L-ND,3590S-2-502L,Bourns Inc.,POT 5K OHM 2W WIREWOUND LINEAR,249,0,"14.35000","0","1","Bulk","3590","Active","5k","±5%","2W","None","10","Linear","1","User Defined","±50ppm/°C","3600°","Wirewound","Solder Lug","Slotted","0.812"" (20.63mm)","0.2497"" (6.34mm)","3/8-32","Panel Mount"
http://www.vishay.com/docs/51036/p16pa16.pdf,//media.digikey.com/Photos/Vishay%20Sfernice/P16%20Series.jpg,P16NP-100K-ND,P16NP104MAB15,Vishay Sfernice,POT 100K OHM 1W CERMET LINEAR,1122,0,"15.15000","0","1","Bulk","P16","Active","100k","±20%","1W","None","1","Linear","1","User Defined","±150ppm/°C","300°","Cermet","Solder Lug","Knob","0.346"" (8.80mm)","0.630"" (16.00mm)","M10 x 0.75","Panel Mount"
http://www.vishay.com/docs/51036/p16pa16.pdf,//media.digikey.com/Photos/Vishay%20Sfernice/P16%20Series.jpg,P16NP-1.0K-ND,P16NP102MAB15,Vishay Sfernice,POT 1K OHM 1W CERMET LINEAR,904,0,"15.15000","0","1","Bulk","P16","Active","1k","±20%","1W","None","1","Linear","1","User Defined","±150ppm/°C","300°","Cermet","Solder Lug","Knob","0.346"" (8.80mm)","0.630"" (16.00mm)","M10 x 0.75","Panel Mount"
http://www.vishay.com/docs/51036/p16pa16.pdf,//media.digikey.com/Photos/Vishay%20Sfernice/P16%20Series.jpg,P16NP-4.7K-ND,P16NP472MAB15,Vishay Sfernice,POT 4.7K OHM 1W CERMET LINEAR,1165,0,"15.71000","0","1","Bulk","P16","Active","4.7k","±20%","1W","None","1","Linear","1","User Defined","±150ppm/°C","300°","Cermet","Solder Lug","Knob","0.346"" (8.80mm)","0.630"" (16.00mm)","M10 x 0.75","Panel Mount"
http://sensing.honeywell.com/index.php?ci_id=151833,//media.digikey.com/photos/Honeywell%20Photos/53C3-Series.jpg,480-5885-ND,53C310K,Honeywell Sensing and Productivity Solutions,POT 10K OHM 2W PLASTIC LINEAR,878,0,"16.87000","0","1","Bulk","53C","Active","10k","±10%","2W","None","1","Linear","1","User Defined","-","312°","Conductive Plastic","Solder Lug","Slotted","0.875"" (22.23mm)","0.250"" (6.35mm)","3/8-32","Panel Mount"
http://sensing.honeywell.com/index.php?ci_id=151833,//media.digikey.com/photos/Honeywell%20Photos/53C3-Series.jpg,53C32K-ND,53C32K,Honeywell Sensing and Productivity Solutions,POT 2K OHM 2W PLASTIC LINEAR,178,0,"17.60000","0","1","Bulk","53C","Active","2k","±10%","2W","None","1","Linear","1","User Defined","-","312°","Conductive Plastic","Solder Lug","Slotted","0.875"" (22.23mm)","0.250"" (6.35mm)","3/8-32","Panel Mount"
https://www.bourns.com/docs/Product-Datasheets/3549.pdf,//media.digikey.com/Photos/Bourns%20Photos/3549S-1AA-104.jpg,3549S-1AA-202A-ND,3549S-1AA-202A,Bourns Inc.,POT 2K OHM 2W WIREWOUND LINEAR,208,0,"18.25000","0","1","Tray","3549","Active","2k","±3%","2W","None","10","Linear","1","User Defined","±50ppm/°C","3600°","Wirewound","Solder Lug","Slotted","0.813"" (20.64mm)","0.250"" (6.35mm)","3/8-32","Panel Mount"
https://www.bourns.com/docs/Product-Datasheets/3590.pdf,//media.digikey.com/Photos/Bourns%20Photos/3590S-2-SERIES.jpg,3590S-2-104L-ND,3590S-2-104L,Bourns Inc.,POT 100K OHM 2W WIREWOUND LINEAR,428,0,"18.59000","0","1","Bulk","3590","Active","100k","±5%","2W","None","10","Linear","1","User Defined","±50ppm/°C","3600°","Wirewound","Solder Lug","Slotted","0.812"" (20.63mm)","0.2497"" (6.34mm)","3/8-32","Panel Mount"
http://www.vishay.com/docs/57065/533534.pdf,//media.digikey.com/Photos/Vishay%20Spectrol%20Photos/533.534.535%20Series.jpg,534B1103JC-ND,534B1103JC,Vishay Spectrol,POT 10K OHM 2W WIREWOUND LINEAR,1719,0,"18.90000","0","1","Bulk","534","Active","10k","±5%","2W","None","10","Linear","1","User Defined","20ppm/°C","3600°","Wirewound","Solder Lug","Slotted","0.812"" (20.63mm)","0.2497"" (6.34mm)","3/8-32","Panel Mount"
http://www.vishay.com/docs/57065/533534.pdf,//media.digikey.com/Photos/Vishay%20Spectrol%20Photos/533.534.535%20Series.jpg,534B1202JC-ND,534B1202JC,Vishay Spectrol,POT 2K OHM 2W WIREWOUND LINEAR,274,0,"18.90000","0","1","Bulk","534","Active","2k","±5%","2W","None","10","Linear","1","User Defined","20ppm/°C","3600°","Wirewound","Solder Lug","Slotted","0.812"" (20.63mm)","0.2497"" (6.34mm)","3/8-32","Panel Mount"
http://www.vishay.com/docs/57065/533534.pdf,//media.digikey.com/Photos/Vishay%20Spectrol%20Photos/533.534.535%20Series.jpg,534B1502JC-ND,534B1502JC,Vishay Spectrol,POT 5K OHM 2W WIREWOUND LINEAR,265,0,"18.90000","0","1","Bulk","534","Active","5k","±5%","2W","None","10","Linear","1","User Defined","20ppm/°C","3600°","Wirewound","Solder Lug","Slotted","0.812"" (20.63mm)","0.2497"" (6.34mm)","3/8-32","Panel Mount"
http://sensing.honeywell.com/index.php?ci_id=151834,//media.digikey.com/Photos/Honeywell%20Photos/MFG_392-SERIES.jpg,392JB103-ND,392JB10K,Honeywell Sensing and Productivity Solutions,POT 10K OHM 1/2W PLASTIC LINEAR,354,0,"19.11000","0","1","Bulk","392","Not For New Designs","10k","±10%","0.5W, 1/2W","None","1","Linear","1","Top Adjustment","-","295°","Conductive Plastic","PC Pins","Slotted","0.875"" (22.23mm)","0.125"" (3.18mm)","1/4-32","Panel Mount"
https://www.bourns.com/docs/Product-Datasheets/3547.pdf,//media.digikey.com/Photos/Bourns%20Photos/3548S-1AA-102A.jpg,3547S-1AA-103A-ND,3547S-1AA-103A,Bourns Inc.,POT 10K OHM 1W WIREWOUND LINEAR,541,0,"21.95000","0","1","Tray","3547","Active","10k","±3%","1W","None","3","Linear","1","User Defined","±50ppm/°C","1080°","Wirewound","Solder Lug","Slotted","0.813"" (20.64mm)","0.250"" (6.35mm)","3/8-32","Panel Mount"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773245&DocType=DS&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/3-1625931-2.jpg,A105727-ND,3-1625931-1,TE Connectivity Passive Product,POT 10K OHM 2W CERMET LINEAR,210,0,"23.03000","0","1","Bulk","M, Citec","Active","10k","±10%","2W","None","1","Linear","1","Top Adjustment","0.75%","270°","Cermet","PC Pins","Round","1.000"" (25.40mm)","0.249"" (6.32mm)","3/8-32","Panel Mount"
//media.digikey.com/pdf/Data%20Sheets/Honeywell%20Sensing%20&%20Control%20PDFs/590SX1N56S103SP.pdf,//media.digikey.com/Photos/Honeywell%20Photos/590SX1N56S103SP.jpg,590SX103-ND,590SX1N56S103SP,Honeywell Sensing and Productivity Solutions,POT 10K OHM 1/2W PLASTIC LINEAR,696,0,"23.32000","0","1","Bulk","590SX","Not For New Designs","10k","±10%","0.5W, 1/2W","None","1","Linear","1","Side Adjustment","±1000ppm/°C","295°","Conductive Plastic","PC Pins","Slotted","0.875"" (22.23mm)","0.125"" (3.18mm)","1/4-32","Panel Mount"
http://www.vishay.com/docs/57065/533534.pdf,//media.digikey.com/Photos/Vishay%20Spectrol%20Photos/533.534.535%20Series.jpg,533B1103JC-ND,533B1103JC,Vishay Spectrol,POT 10K OHM 1W WIREWOUND LINEAR,398,0,"24.95000","0","1","Bulk","533","Active","10k","±5%","1W","None","3","Linear","1","User Defined","20ppm/°C","1080°","Wirewound","Solder Lug","Slotted","0.812"" (20.63mm)","0.2497"" (6.34mm)","3/8-32","Panel Mount"
http://www.vishay.com/docs/51036/p16pa16.pdf,//media.digikey.com/Photos/Vishay%20Sfernice/P16%20Series.jpg,P16NM-10K-ND,P16NM103MAB15,Vishay Sfernice,POT 10K OHM 1W CERMET LINEAR,262,0,"25.56000","0","1","Bulk","P16","Active","10k","±20%","1W","None","1","Linear","1","User Defined","±150ppm/°C","300°","Cermet","Solder Lug","Knob","0.370"" (9.40mm)","0.630"" (16.00mm)","M10 x 0.75","Panel Mount"
https://www.bourns.com/docs/Product-Datasheets/3540.pdf,//media.digikey.com/photos/Bourns%20Photos/3540S-1-503L.JPG,3540S-1-103L-ND,3540S-1-103L,Bourns Inc.,POT 10K OHM 2W WIREWOUND LINEAR,784,0,"26.57000","0","1","Tray","3540","Active","10k","±5%","2W","None","10","Linear","1","User Defined","±50ppm/°C","3600°","Wirewound","Solder Lug","Slotted","0.812"" (20.63mm)","0.2497"" (6.34mm)","3/8-32","Panel Mount"
https://www.bourns.com/docs/Product-Datasheets/3540.pdf,//media.digikey.com/photos/Bourns%20Photos/3540S-1-503L.JPG,3540S-1-502L-ND,3540S-1-502L,Bourns Inc.,POT 5K OHM 2W WIREWOUND LINEAR,697,0,"26.57000","0","1","Tray","3540","Active","5k","±5%","2W","None","10","Linear","1","User Defined","±50ppm/°C","3600°","Wirewound","Solder Lug","Slotted","0.812"" (20.63mm)","0.2497"" (6.34mm)","3/8-32","Panel Mount"
http://www.vishay.com/docs/57065/533534.pdf,//media.digikey.com/Photos/Vishay%20Spectrol%20Photos/533.534.535%20Series.jpg,534B1104JC-ND,534B1104JC,Vishay Spectrol,POT 100K OHM 2W WIREWOUND LINEAR,332,0,"27.14000","0","1","Bulk","534","Active","100k","±5%","2W","None","10","Linear","1","User Defined","20ppm/°C","3600°","Wirewound","Solder Lug","Slotted","0.812"" (20.63mm)","0.2497"" (6.34mm)","3/8-32","Panel Mount"
