Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Usage","Dimensions - Overall","Material","Features"
http://protektivepak.descoindustries.com/Catalog/2016-Protektive-Pak-Catalog.pdf,//media.digikey.com/photos/Desco%20Photos/MFG_37565.jpg,16-1542-ND,37565,Desco,HLDR 15SLT 17-1/2X15-5/8X15-1/4"",6,0,"59.51000","0","1","Protektive Pak®","Active","Reel Holder","Storage","17.52"" L x 15.63"" W x 15.24"" H (455.0mm x 397mm x 387mm)","Corrugated Fiberboard","15 Cells, Dissipative"
http://documents.protektivepak.com/PDF/37050.pdf,-,16-1588-ND,37053,Desco,SHIPPER CIRC BD W/FOAM 7X5X1-1/2,92,0,"3.96000","0","1","Protektive Pak®","Active","Card Carrier","Storage, Shipping","7.00"" L x 5.00"" W x 1.50"" H (177.8mm x 127.0mm x 38.1mm)","Corrugated Fiberboard","Dissipative Foam Insert, Hinged Lid"
http://documents.desco.com/PDF/38900.pdf,//media.digikey.com/Photos/Desco%20Photos/MFG_38906.jpg,16-1548-ND,38906,Desco,BOX OPEN BIN PLASTEK 18X8X4,9,0,"13.90000","0","1","Protektive Pak Plastek™","Active","Workstation Organizer","Storage","18.00"" L x 8.00"" W x 4.00"" H (457.2mm x 203.2mm x 101.6mm)","Polypropylene","Chemical and Moisture Resistant, Conductive"
http://documents.esdsystems.com/PDF/35872.pdf,//media.digikey.com/Photos/Desco%20Photos/MFG_35873.jpg,EB1589-ND,35873,MENDA/EasyBraid,ORGANZR ASSMBLY WRKSTTN BX ONLY,9,0,"29.54000","0","1","Protektive Pak Plastek™","Active","Workstation Organizer","Storage","16.88"" L x 8.13"" W x 2.38"" H (428.8mm x 206.5mm x 60.5mm)","Polypropylene","Chemical and Moisture Resistant, Conductive"
-,-,2079-2020-ND,2020,"Conductive Containers, Inc.",BOX CONDUCTIVE HINGED 2 X 2 X 1/,100,0,"1.58000","0","1","-","Active","Box","Storage","2.00"" L x 2.00"" W x 0.25"" H (50.8mm x 50.8mm x 6.4mm)","-","Hinged Lid"
-,-,2079-IC5000-ND,IC5000,"Conductive Containers, Inc.",CORSTAT IC SHIPPER 2-1/2 X 1-1/4,85,0,"1.84000","0","1","Corstat™","Active","Card Carrier","Shipping","2.50"" L x 1.25"" W x 1.00"" H (63.5mm x 31.8mm x 25.4mm)","-","Anti-Static, Conductive, Foam Insert, Hinged Lid"
-,-,2079-IC5010-ND,IC5010,"Conductive Containers, Inc.",CORSTAT IC SHIPPER 3-1/2 X 1-1/4,43,0,"2.01000","0","1","Corstat™","Active","Card Carrier","Shipping","3.50"" L x 1.25"" W x 1.00"" H (88.9mm x 31.8mm x 25.4mm)","-","Anti-Static, Conductive, Foam Insert, Hinged Lid"
-,-,2079-IC5025-ND,IC5025,"Conductive Containers, Inc.",CORSTAT IC SHIPPER 2-3/4 X 2-3/4,100,0,"2.28000","0","1","Corstat™","Active","Card Carrier","Shipping","2.75"" L x 2.75"" W x 0.94"" H (69.9mm x 69.9mm x 23.8mm)","-","Anti-Static, Conductive, Foam Insert, Hinged Lid"
-,-,2079-2535-75-ND,2535-75,"Conductive Containers, Inc.",BOX CONDUCTIVE HINGED 3 1/2 X 2,100,0,"2.73000","0","1","-","Active","Box","Storage","3.50"" L x 2.56"" W x 0.75"" H (88.9mm x 65.0mm x 19.1mm)","-","Hinged Lid"
-,-,2079-2535-100-ND,2535-100,"Conductive Containers, Inc.",BOX CONDUCTIVE HINGED 3 1/2 X 2,100,0,"2.87000","0","1","-","Active","Box","Storage","3.50"" L x 2.56"" W x 1.00"" H (88.9mm x 65.0mm x 25.4mm)","-","Hinged Lid"
-,-,2079-3545-ND,3545,"Conductive Containers, Inc.",BOX CONDUCTIVE HINGED 4 5/8 X 3,100,0,"3.15000","0","1","-","Active","Box","Storage","4.56"" L x 3.50"" W x 0.50"" H (115.8mm x 88.9mm x 12.7mm)","-","Hinged Lid"
-,-,2079-IC5040-ND,IC5040,"Conductive Containers, Inc.",CORSTAT IC SHIPPER 3-3/4 X 3-3/4,95,0,"3.34000","0","1","Corstat™","Active","Card Carrier","Shipping","3.75"" L x 3.75"" W x 1.00"" H (95.3mm x 95.3mm x 25.4mm)","-","Anti-Static, Conductive, Foam Insert, Hinged Lid"
-,-,2079-7035-ND,7035,"Conductive Containers, Inc.",BOX CONDUCTIVE HINGED 7 X 3 1/2,100,0,"3.94000","0","1","-","Active","Box","Shipping","7.00"" L x 3.50"" W x 0.50"" H (177.8mm x 88.9mm x 12.7mm)","-","Hinged Lid"
-,-,2079-IC5050-ND,IC5050,"Conductive Containers, Inc.",CORSTAT IC SHIPPER 7 X 3-1/2 X 1,50,0,"4.24000","0","1","Corstat™","Active","Card Carrier","Shipping","7.00"" L x 3.50"" W x 1.00"" H (177.8mm x 88.9mm x 25.4mm)","-","Anti-Static, Conductive, Foam Insert, Hinged Lid"
-,-,2079-3631-ND,3631,"Conductive Containers, Inc.",CORREC-PAK SHIPPER 4 X 4 X 2"" ID,48,0,"4.43000","0","1","Correc Pak","Active","Card Carrier","Storage, Shipping","4.00"" L x 4.00"" W x 2.00"" H (101.6mm x 101.6mm x 50.8mm)","-","Dissipative Foam Insert, Hinged Lid"
-,-,2079-IC5041-ND,IC5041,"Conductive Containers, Inc.",CORSTAT IC SHIPPER 4-5/8 X 3-3/4,48,0,"4.48000","0","1","Corstat™","Active","Card Carrier","Shipping","4.50"" L x 3.75"" W x 1.00"" H (114.3mm x 95.3mm x 25.4mm)","-","Anti-Static, Conductive, Foam Insert, Hinged Lid"
-,-,2079-IC5045-ND,IC5045,"Conductive Containers, Inc.",CORSTAT IC SHIPPER 5-3/4 X 2-3/4,100,0,"4.74000","0","1","Corstat™","Active","Card Carrier","Shipping","5.75"" L x 2.75"" W x 0.94"" H (146.1mm x 69.9mm x 23.8mm)","-","Anti-Static, Conductive, Foam Insert, Hinged Lid"
-,-,2079-PP2535-ND,PP2535,"Conductive Containers, Inc.",PILLOWPACK ESD 3 1/2 X 2 9/16 X,100,0,"5.53000","0","1","Pillow Pak","Active","Box","Storage","2.56"" L x 3.50"" W x 0.50"" H (65.1mm x 88.9mm x 12.7mm)","-","Foam Insert, Hinged Lid"
-,-,2079-PPF3545-ND,PPF3545,"Conductive Containers, Inc.",CORSTAT PILLOWSTAT FOLDER 4-5/8,100,0,"5.74000","0","1","Corstat™ Pillowstat™","Active","Box","Shipping","4.63"" L x 3.50"" W x 0.50"" H (117.5mm x 88.9mm x 12.7mm)","-","Conductive, Foam Insert, Hinged Lid"
-,-,2079-IC5050-SS-ND,IC5050-SS,"Conductive Containers, Inc.",CORSTAT IC SHIPPERS SS 7 X 3-1/2,90,0,"5.83000","0","1","Corstat™","Active","Card Carrier","Shipping","7.00"" L x 3.50"" W x 1.00"" H (177.8mm x 88.9mm x 25.4mm)","-","Dissipative Foam Insert, Hinged Lid"
-,-,2079-3230-6-ND,3230-6,"Conductive Containers, Inc.",CORREC-PAK SHIPPER 10.5 X 8.5 X,33,0,"7.82000","0","1","Correc Pak","Active","Card Carrier","Storage, Shipping","10.50"" L x 8.50"" W x 2.50"" H (266.7mm x 215.9mm x 63.5mm)","-","Dissipative Foam Insert, Hinged Lid"
-,-,2079-PP3545-ND,PP3545,"Conductive Containers, Inc.",PILLOWPACK ESD 4 5/8 X 3 1/2 X 1,99,0,"8.07000","0","1","Pillow Pak","Active","Box","Storage","4.63"" L x 3.50"" W x 0.50"" H (117.5mm x 88.9mm x 12.7mm)","-","Foam Insert, Hinged Lid"
-,-,2079-3701-ND,3701,"Conductive Containers, Inc.",CORREC-PAK SHIPPER 11 X 7.75 X 2,26,0,"10.19000","0","1","Correc Pak","Active","Card Carrier","Storage, Shipping","11.00"" L x 7.75"" W x 2.88"" H (279.4mm x 196.9mm x 73.0mm)","-","Dissipative Foam Insert, Hinged Lid"
-,-,2079-PP7035-ND,PP7035,"Conductive Containers, Inc.",PILLOWPACK ESD 7 X 3 1/2 X 1/2"",99,0,"10.26000","0","1","Pillow Pak","Active","Box","Storage","7.00"" L x 3.50"" W x 0.50"" H (177.8mm x 88.9mm x 12.7mm)","-","Foam Insert, Hinged Lid"
-,-,2079-TP3545-ND,TP3545,"Conductive Containers, Inc.",TACKI PAK 4 5/8 X 3 1/2 X 1/2"",65,0,"12.04000","0","1","Tacki Pak","Active","Box","Storage","3.50"" L x 4.63"" W x 0.50"" H (88.9mm x 117.5mm x 12.7mm)","Plastic","Hinged Lid"
-,-,PPK-28743-ND,PPK-28743,Desco,CIR BRD SHIP 15""X9""X3.5"" W FOAM,6,0,"16.97000","0","1","*","Active","-","-","-","-","-"
-,-,2079-PTP3545-750-ND,PTP3545-750,"Conductive Containers, Inc.",TACKI PAK PEDESTAL 4 5/8 X 3 1/2,20,0,"17.06000","0","1","Tacki Pak","Active","Card Carrier","Shipping","4.63"" L x 3.50"" W x 0.50"" H (117.5mm x 88.9mm x 12.7mm)","-","Hinged Lid"
-,-,2079-50019-ND,50019,"Conductive Containers, Inc.",BLOW MOLDED CONDUCTIVE CASE 5 1/,30,0,"17.22000","0","1","-","Active","Box","Storage, Shipping","5.06"" L x 2.75"" W x 1.00"" H (128.6mm x 69.9mm x 25.4mm)","Plastic","Conductive, Foam Insert, Hinged Lid"
-,-,2079-13030-ND,13030,"Conductive Containers, Inc.","CP KITTING TRAY, 12 CAVITIES, 10",29,0,"18.27000","0","1","-","Active","Tray","Storage","10.50"" L x 8.75"" W x 1.50"" H (266.7mm x 222.3mm x 38.1mm)","-","12 Cells, Dissipative"
-,-,2079-13050-ND,13050,"Conductive Containers, Inc.","CP KITTING TRAY, 12 CAVITIES, 14",30,0,"25.64000","0","1","-","Active","Tray","Storage","14.13"" L x 10.13"" W x 1.75"" H (358.8mm x 257.2mm x 44.5mm)","-","12 Cells, Dissipative"
-,-,2079-13040-ND,13040,"Conductive Containers, Inc.","CP KITTING TRAY, 9 CAVITIES, 14",29,0,"25.64000","0","1","-","Active","Tray","Storage","14.50"" L x 10.13"" W x 1.75"" H (368.3mm x 257.2mm x 44.5mm)","-","9 Cells, Dissipative"
-,-,2079-13060-ND,13060,"Conductive Containers, Inc.","CP KITTING TRAY, 9 CAVITIES, 16",24,0,"28.07000","0","1","-","Active","Tray","Storage","16.13"" L x 10.63"" W x 1.88"" H (409.6mm x 269.9mm x 47.6mm)","-","12 Cells, Dissipative"
-,-,2079-50014-ND,50014,"Conductive Containers, Inc.",BLOW MOLDED CONDUCTIVE CASE 8 15,30,0,"31.58000","0","1","-","Active","Box","Storage, Shipping","8.94"" L x 6.63"" W x 1.25"" H (227.0mm x 168.3mm x 31.8mm)","Plastic","Conductive, Foam Insert, Hinged Lid"
-,-,2079-50015-ND,50015,"Conductive Containers, Inc.",BLOW MOLDED CONDUCTIVE CASE 11 7,25,0,"33.84000","0","1","-","Active","Box","Storage, Shipping","11.88"" L x 8.19"" W x 1.25"" H (301.6mm x 208.0mm x 31.8mm)","Plastic","Conductive, Foam Insert, Hinged Lid"
-,-,2079-50016-ND,50016,"Conductive Containers, Inc.",BLOW MOLDED CONDUCTIVE CASE 12 3,30,0,"43.19000","0","1","-","Active","Box","Storage, Shipping","12.75"" L x 10.50"" W x 1.75"" H (323.9mm x 266.7mm x 44.5mm)","Plastic","Conductive, Foam Insert, Hinged Lid"
https://www.botron.com/wp-content/uploads/2013/09/b0948-spec.pdf,-,2071-B0948-ND,B0948,Botron Company Inc.,B0948 BLACK CONDUCTIVE TOOL BOX,11,0,"45.18000","0","1","-","Active","Tool Box","Storage","13.70"" L x 7.08"" W x 5.80"" H (348.0mm x 179.8mm x 147.3mm)","Polypropylene","Conductive, Handles"
http://documents.desco.com/PDF/38920.pdf,-,39067-ND,39067,Desco,ESD HANDLER 8X4X2-3/4,4,0,"127.79000","0","1","Protektive Pak Plastek™","Active","Card Holder","Storage, Transport","8.00"" L x 4.00"" W x 2.75"" H (203.0mm x 120.7mm x 69.9mm)","Polypropylene","20 Cells, Conductive, Chemical and Moisture Resistant, Dissipative Partitions, Foam Insert, Wire Frame"
http://documents.protektivepak.com/PDF/57020.pdf,//media.digikey.com/Photos/Desco%20Photos/MFG_57020.jpg,16-1557-ND,57020,Desco,VELOSTAT HINGED CONTAINER,15,0,"2.47000","0","1","Velostat®","Active","Box","Storage, Transport","2.56"" L x 3.50"" W x 1.75"" H (65.0mm x 88.9mm x 44.5mm)","Velostat™","Conductive, Hinged Lid"
http://documents.protektivepak.com/PDF/57018.pdf,//media.digikey.com/Photos/Desco%20Photos/MFG_57016.jpg,16-1556-ND,57016,Desco,VELOSTAT ROUND CONTAINER,15,0,"3.20000","0","1","Velostat®","Active","Round Box","Storage, Transport","2.38"" Dia x 0.88"" H (60.5mm x 22.4mm)","Velostat™","Conductive, Lid Included"
http://documents.protektivepak.com/PDF/57000.pdf,//media.digikey.com/Photos/Desco%20Photos/MFG_57006.jpg,16-1404-ND,57006,Desco,BOX COND WITH FOAM 4.2X3.2X0.52,17,0,"4.16000","0","1","Protektive Pak®","Active","Card Carrier","Storage, Shipping","4.20"" L x 3.20"" W x 0.52"" H (106.7mm x 81.3mm x 13.2mm)","Polypropylene","Dissipative Foam Insert, Hinged Lid"
http://documents.desco.com/PDF/37750.pdf,//media.digikey.com/photos/Desco%20Photos/MFG_37750.jpg,16-1590-ND,37750,Desco,TEK-TRAY 18X11-3/8X1-3/4,0,0,"18.23000","0","1","Protektive Pak®","Active","Tray","Storage","18.00"" L x 11.38"" W x 1.75"" H (457.2mm x 289.1mm x 44.5mm)","Corrugated Fiberboard","Dissipative, Foam Insert, Stackable"
http://documents.mendapump.com/PDF/35874.pdf,//media.digikey.com/Photos/Desco%20Photos/35874.jpg,16-1248-ND,35874,MENDA/EasyBraid,WORKSTATION ORGANIZER 6 CELLS,3,0,"30.65000","0","1","Menda® Plastek™","Active","Workstation Organizer","Storage","9.25"" L x 5.63"" W x 7.00"" H (235.0mm x 143.0mm x 177.8mm)","Polypropylene","6 Cells, Chemical and Moisture Resistant, Conductive"
//media.digikey.com/pdf/Data%20Sheets/Pimoroni%20PDFs/IFIX-EU145257_Web.pdf,-,1778-IFIX-EU145257-ND,IFIX-EU145257,Pimoroni Ltd,ANTI-STATIC PROJECT TRAY,24,0,"6.12000","0","1","-","Active","Tray","Storage","11.02"" L x 8.66"" W x 0.51"" H (280.0mm x 220.0mm x 13.0mm)","Plastic","-"
http://documents.desco.com/PDF/38844.pdf,-,16-1597-ND,38844,Desco,SHIPPER PLASTEK CIRCUIT BOARD,5,0,"10.69000","0","1","Protektive Pak Plastek™","Active","Card Carrier","Storage, Shipping","7.00"" L x 5.00"" W x 1.50"" H (177.8mm x 127.0mm x 38.1mm)","Polypropylene","Chemical and Moisture Resistant, Conductive"
http://documents.desco.com/PDF/38844.pdf,-,16-1598-ND,38847,Desco,SHIPPER PLASTEK CIRCUIT BOARD,5,0,"12.37000","0","1","Protektive Pak Plastek™","Active","Card Carrier","Storage, Shipping","7.00"" L x 5.00"" W x 2.50"" H (177.8mm x 127.0mm x 63.5mm)","Polypropylene","Chemical and Moisture Resistant, Conductive"
http://documents.desco.com/PDF/38844.pdf,-,16-1599-ND,38850,Desco,SHIPPER PLASTEK CIRCUIT BOARD,5,0,"17.44000","0","1","Protektive Pak Plastek™","Active","Card Carrier","Storage, Shipping","10.50"" L x 8.50"" W x 1.50"" H (266.7mm x 215.9mm x 38.1mm)","Polypropylene","Chemical and Moisture Resistant, Conductive"
http://documents.desco.com/PDF/38844.pdf,-,16-1600-ND,38853,Desco,SHIPPER PLASTEK CIRCUIT BOARD,5,0,"21.62000","0","1","Protektive Pak Plastek™","Active","Card Carrier","Storage, Shipping","10.50"" L x 8.50"" W x 2.50"" H (266.7mm x 215.9mm x 63.5mm)","Polypropylene","Chemical and Moisture Resistant, Conductive"
http://documents.desco.com/PDF/38844.pdf,-,16-1601-ND,38856,Desco,SHIPPER PLASTEK CIRCUIT BOARD,5,0,"29.37000","0","1","Protektive Pak Plastek™","Active","Card Carrier","Storage, Shipping","12.50"" L x 10.50"" W x 2.50"" H (317.5mm x 266.7mm x 63.5mm)","Polypropylene","Chemical and Moisture Resistant, Conductive"
